hebrew,english,first_unit,units_seen,occurrences,example_phrase
הפירות,the fruit,8,1,1,הן אוכלות את הפירות.
הבשר,the flesh / the meat,8,1,1,"הבשר טעים, תודה!"
מלח,salt,8,1,1,אני רוצֶה מלח.
כריך,a sandwich / sandwich,8,1,1,אנחנו רוצים כריך והם רוצים לחם.
שותֶה,drink / drinking / drinks / is drinking,9,3,3,החתול שותֶה את החלב.
החלב,milk / the milk / the milk is,9,2,2,החתול שותֶה את החלב.
הכלב,the dog,9,2,2,"לא, הכלב לא נובח."
צב,a tortoise / a turtle / turtle,9,1,1,יש לי צב.
נשר,an eagle / eagle / vulture,9,1,1,זה נשר?
החתול,the cat,9,1,1,החתול שותֶה את החלב.
נובח,bark / barking / is barking,9,1,1,"לא, הכלב לא נובח."
או,or,10,7,8,הוא קורא עיתונים או ספרים?
קורא,is reading / read / reading,10,1,1,הוא קורא עיתונים או ספרים?
עיתונים,newspapers,10,1,1,הוא קורא עיתונים או ספרים?
ספרים,books,10,1,1,הוא קורא עיתונים או ספרים?
התפוחים,the apples,10,1,1,"התפוחים טעימים, תודה!"
טעימים,are delicious / are tasty / tasty (pl. masc.),10,1,1,"התפוחים טעימים, תודה!"
הספרים,the books / the books are,10,1,1,הספרים יפים.
יפים,beautiful (pl. masc.) / handsome / nice,10,1,1,הספרים יפים.
החתולים,the cats,10,1,1,החתולים שותים את החלב.
שותים,are drinking / drink / drinking,10,1,1,החתולים שותים את החלב.
שלךָ,your (sg.masc.) / yours (sg.masc.),11,6,7,זה שלךָ?
שלה,her / her boys / her children / hers / its,11,6,6,הילד שלה אוכל ארוחת צהריים.
אוהב,like / likes / love,11,5,5,אני אוהב את האוכל שלהם.
שלהם,their / theirs,11,4,4,אני אוהב את האוכל שלהם.
שלכם,your / yours / yours(p.m.),11,2,2,הגמל שלכם?
הגמל,the camel / the camel is,11,1,1,הגמל שלכם?
של,'s / Abraham's / Avraham's / of / whose,12,14,15,המשאית של אברהם ריקה.
גבוהה,high (sg. fem.) / tall (sg. fem.) / taller,12,2,2,היא גבוהה.
ריקה,empty (sg. fem.),12,2,2,המשאית של אברהם ריקה.
רחוק,far (sg. masc.) / far away,12,1,1,זה רחוק!
דרך,path / road / way,12,1,1,זאת דרך ארוכה.
ארוכה,long (sg. fem.),12,1,1,זאת דרך ארוכה.
המשאית,the truck,12,1,1,המשאית של אברהם ריקה.
אברהם,Abraham / Abraham's / Avraham / Avraham's,12,1,1,המשאית של אברהם ריקה.
שלי,mine / my,13,14,15,"אני רוצֶה אותן, הן שלי."
צריך,has to / have to / need / needs,13,6,6,"אני לא צריך אותם, יש לי אותךָ!"
אותו,him / it / the same,13,3,3,אנחנו רואות אותו.
אותם,the same / them,13,2,2,"אני לא צריך אותם, יש לי אותךָ!"
אותךָ,you,13,1,1,"אני לא צריך אותם, יש לי אותךָ!"
אותךְ,you,13,1,1,אני אוהב אותךְ.
רואות,see,13,1,1,אנחנו רואות אותו.
אותן,the same / them,13,1,1,"אני רוצֶה אותן, הן שלי."
סליחה,I am sorry / Pardon / excuse me / sorry,14,4,4,"סליחה, יש לכם סכין?"
לכם,do you have / to you (pl. masc.) / you / you have (p.m.),14,2,2,"סליחה, יש לכם סכין?"
כוס,a cup / a glass / a glass of juice / cup,14,1,1,אתה רוצֶה כוס מיץ?
מיץ,a glass of juice / juice,14,1,1,אתה רוצֶה כוס מיץ?
רוטב,sauce,14,1,1,זה רוטב טעים!
סכין,a knife / knife,14,1,1,"סליחה, יש לכם סכין?"
צמחוני,vegetarian(s.m.),14,1,1,אני צמחוני.
שלו,his / its,15,4,4,העניבות שלו יפות.
יפָה,beautiful / beautiful (sg. fem.) / handsome / prettiest / pretty,15,3,3,החולצה שלךָ יפָה.
החולצה,the shirt,15,2,2,החולצה שלךָ יפָה.
מכנסיים,pants / trousers,15,2,2,יש לי אותם מכנסיים.
משקפי,sunglasses,15,1,1,אני צריך משקפי שמש.
שמש,sun / sunglasses,15,1,1,אני צריך משקפי שמש.
העניבות,the ties,15,1,1,העניבות שלו יפות.
יפות,beautiful / pretty,15,1,1,העניבות שלו יפות.
הילדים,the boys / the children / the kids,16,3,3,הילדים גדלים.
כותבת,is writing / write / writes,16,1,1,אני כותבת ספר.
האמא,the mom / the mother,16,1,1,האמא תומכת בילדים שלה.
תומכת,is supporting / supports,16,1,1,האמא תומכת בילדים שלה.
בילדים,her boys / her children / in boys / in the boys / in the children,16,1,1,האמא תומכת בילדים שלה.
הציפורים,the birds,16,1,1,הציפורים שרות.
שרות,are singing / sing,16,1,1,הציפורים שרות.
גדלים,are growing up / grow up,16,1,1,הילדים גדלים.
רוצָה,want / wants,17,6,6,אני רוצָה צעיף ירוק.
הכובע,the hat / the hat is,17,2,2,הכובע שלי צהוב.
לובש,is wearing / wear / wears,17,2,2,הוא לובש מכנסיים סגולים.
צהוב,yellow (sg. masc.),17,1,1,הכובע שלי צהוב.
צעיף,a scarf / scarf,17,1,1,אני רוצָה צעיף ירוק.
ירוק,green,17,1,1,אני רוצָה צעיף ירוק.
סגולים,purple (pl. masc.),17,1,1,הוא לובש מכנסיים סגולים.
צובעת,color / is painting / paint,17,1,1,אני צובעת ביצה.
ביצה,an egg / egg,17,1,1,אני צובעת ביצה.
ממנו,from him / than him,18,2,2,אני לומד ממנו.
איתי,with me,18,2,2,אתה בא איתי?
קונֶה,buy / buys / is buying,18,1,1,הוא קונֶה ממנה את המצרכים.
ממנה,from her,18,1,1,הוא קונֶה ממנה את המצרכים.
המצרכים,the ingredients,18,1,1,הוא קונֶה ממנה את המצרכים.
לומד,learn / learning / learns,18,1,1,אני לומד ממנו.
משקפיים,glasses / glasses (for eyes) / pairs of glasses,18,1,1,יש לי משקפיים בשבילה.
בשבילה,for her,18,1,1,יש לי משקפיים בשבילה.
מבשל,cook / cooks / is cooking,19,2,2,הוא מבשל עשר ביצים.
עשר,nineteen (masc.) / ten (fem.),19,1,2,הוא מבשל עשר ביצים.
עגבניה,a tomato / tomato,19,1,1,יש לי עגבניה אחת.
אחת,one (fem.),19,1,1,יש לי עגבניה אחת.
חמישה,five (masc.),19,1,1,יש לי חמישה גזרים.
גזרים,carrots,19,1,1,יש לי חמישה גזרים.
ביצים,eggs,19,1,1,הוא מבשל עשר ביצים.
תשעה,nine (masc.) / nineteen (masc.),19,1,1,"תשעה עשר תפוחים, בבקשה."
תפוחים,apples,19,1,1,"תשעה עשר תפוחים, בבקשה."
בבקשה,here you go / please / you are welcome,19,1,1,"תשעה עשר תפוחים, בבקשה."
מי,the one who / who / who are / who is / who with / whose / with whom,20,4,6,מי אתה?
עם,who with / with / with whom,20,3,3,עם מי את הולכת?
הולכת,go / goes / is going / is walking / walk,20,2,2,עם מי את הולכת?
למי,who / who for / who to,20,1,1,למי יש אוכל?
כלום,not - anything / nothing,21,3,3,למה אתה לא אוכל כלום?
הכל,all / everything,21,3,3,הכל בסדר?
אלו,these / these are / those,21,1,1,אלו הילדים שלי.
משהו,something,21,1,1,אני רוצָה משהו אחר.
אחר,different / else / other,21,1,1,אני רוצָה משהו אחר.
למה,why,21,1,1,למה אתה לא אוכל כלום?
טובה,a favor / best / favor / good (sg. fem.),22,5,5,יש לי עבודה טובה.
לנו,for us / to us / us / we have / we will not have,22,4,4,יש לנו צוות קטן.
עבודה,a job / job / work,22,2,2,יש לי עבודה טובה.
חדשה,new (sg. fem.),22,2,2,יש לי קריירה חדשה.
צוות,a staff / a team / crew / team,22,2,2,יש לנו צוות קטן.
קטן,little (sg. masc.) / small (sg. masc.),22,2,2,יש לנו צוות קטן.
המקצוע,the profession,22,1,1,מה המקצוע שלךָ?
קריירה,a career / career,22,1,1,יש לי קריירה חדשה.
על,about / at / by / even though / it / of / on / on top of / over / that / this,23,11,13,אני לא לובש חולצות כתומות אף על פי שאני אוהב את הצבע הזה.
הזה,that / this,23,11,11,אני לא לובש חולצות כתומות אף על פי שאני אוהב את הצבע הזה.
הזאת,that / this,23,7,7,אני רוצֶה לאכול במסעדה הזאת אך אני לא יודע איפה היא.
אחרי,after / after I,23,5,5,אני עובד אחרי שאני אוכל.
עובד,has been working / is working / work / working,23,3,3,אני עובד אחרי שאני אוכל.
שאני,after I / that I / that I am,23,2,3,אני עובד אחרי שאני אוכל.
לה,her / it (feminine nouns) / she has / to her,23,2,2,"היא אוהבת חיות, לכן יש לה כלב וסוס."
הצבע,the color,23,2,2,אני לא לובש חולצות כתומות אף על פי שאני אוהב את הצבע הזה.
לאכול,eat / eating / to eat,23,2,2,אני רוצֶה לאכול במסעדה הזאת אך אני לא יודע איפה היא.
איפה,where / where are / where is,23,2,2,אני רוצֶה לאכול במסעדה הזאת אך אני לא יודע איפה היא.
חיות,animals,23,1,1,"היא אוהבת חיות, לכן יש לה כלב וסוס."
לכן,That's why / therefore / you,23,1,1,"היא אוהבת חיות, לכן יש לה כלב וסוס."
וסוס,and a horse,23,1,1,"היא אוהבת חיות, לכן יש לה כלב וסוס."
חולצות,shirts,23,1,1,אני לא לובש חולצות כתומות אף על פי שאני אוהב את הצבע הזה.
כתומות,orange,23,1,1,אני לא לובש חולצות כתומות אף על פי שאני אוהב את הצבע הזה.
אף,even though / nose / not a,23,1,1,אני לא לובש חולצות כתומות אף על פי שאני אוהב את הצבע הזה.
פי,even though,23,1,1,אני לא לובש חולצות כתומות אף על פי שאני אוהב את הצבע הזה.
במסעדה,at the restaurant / in a restaurant / in the restaurant,23,1,1,אני רוצֶה לאכול במסעדה הזאת אך אני לא יודע איפה היא.
אך,but,23,1,1,אני רוצֶה לאכול במסעדה הזאת אך אני לא יודע איפה היא.
יודע,know / knows,23,1,1,אני רוצֶה לאכול במסעדה הזאת אך אני לא יודע איפה היא.
בחוץ,outside,24,2,2,קר בחוץ!
יושב,is sitting / sit / sits,24,2,2,הוא יושב ביניהם.
אל,to / toward / towards,24,2,2,אנחנו לא חוזרים אל המסעדה!
קר,cold (sg. masc.),24,1,1,קר בחוץ!
ביניהם,between them,24,1,1,הוא יושב ביניהם.
חוזרים,are coming back / is returning / return,24,1,1,אנחנו לא חוזרים אל המסעדה!
המסעדה,the restaurant,24,1,1,אנחנו לא חוזרים אל המסעדה!
התרנגולות,the chickens,24,1,1,התרנגולות נמצאות מאחורי הקופים.
נמצאות,are / are found / are located,24,1,1,התרנגולות נמצאות מאחורי הקופים.
מאחורי,behind,24,1,1,התרנגולות נמצאות מאחורי הקופים.
הקופים,the monkeys,24,1,1,התרנגולות נמצאות מאחורי הקופים.
הלבנה,white,25,2,2,אחרי העבודה היא לובשת את שמלתה הלבנה.
אבינו,our father,25,1,1,הוא אבינו.
ילדתי,my girl,25,1,1,את ילדתי.
כלביה,her dogs,25,1,1,כלביה רצים אליה.
רצים,are running / run / running,25,1,1,כלביה רצים אליה.
אליה,to her / towards her,25,1,1,כלביה רצים אליה.
העבודה,the job / the work,25,1,1,אחרי העבודה היא לובשת את שמלתה הלבנה.
לובשת,is wearing / wear / wears,25,1,1,אחרי העבודה היא לובשת את שמלתה הלבנה.
שמלתה,her dress,25,1,1,אחרי העבודה היא לובשת את שמלתה הלבנה.
הם,are / they / they are,26,8,8,הם מייבאים הרבה תפוזים.
הרבה,a lot of / lots of / many / much,26,7,7,הם מייבאים הרבה תפוזים.
חושב,I think so / is thinking / think / thinks,26,4,4,אני חושב שהשחקנית הזאת משחקת טוב.
עדיין,still / yet,26,2,2,הוא עדיין מחפש עבודה.
מחמם,heat / is heating / warm up,26,1,1,אני מחמם את האוכל.
שהשחקנית,that the actress,26,1,1,אני חושב שהשחקנית הזאת משחקת טוב.
משחקת,is playing / play / plays,26,1,1,אני חושב שהשחקנית הזאת משחקת טוב.
מחפש,looking / looks for / searches,26,1,1,הוא עדיין מחפש עבודה.
מייבאים,are importing / import / importing,26,1,1,הם מייבאים הרבה תפוזים.
תפוזים,oranges,26,1,1,הם מייבאים הרבה תפוזים.
יום,Independence Day / Monday / Sunday / Yom Kippur / a day / day / everyday / the Day of Atonement,27,4,6,יום שני בא אחרי יום ראשון.
היום,the day / today,27,3,3,אתמול או היום?
שני,Monday / both / both of / second / two (masc.),27,2,2,יום שני בא אחרי יום ראשון.
אתמול,yesterday,27,2,2,אתמול או היום?
ראשון,Sunday / first,27,1,1,יום שני בא אחרי יום ראשון.
נחים,are having a rest / are resting / rest,27,1,1,אנחנו נחים בשבת.
בשבת,On Shabbat / on Sabbath / on Saturday,27,1,1,אנחנו נחים בשבת.
זמן,time,27,1,1,זה זמן טוב לאכול.
הערב,the evening / this evening / tonight,27,1,1,הערב בשעה שש.
בשעה,at - o'clock,27,1,1,הערב בשעה שש.
שש,six (fem.),27,1,1,הערב בשעה שש.
בנובמבר,in November,27,1,1,בנובמבר יש לי התמחות.
התמחות,apprenticeship / expertise / internship,27,1,1,בנובמבר יש לי התמחות.
מיוחד,special (sg. masc.),28,1,1,הוא כלב מיוחד.
הקפה,the coffee / the coffee is,28,1,1,הקפה הזה חלש.
חלש,weak (sg. masc.),28,1,1,הקפה הזה חלש.
הגבינה,the cheese,28,1,1,הגבינה הזאת נהדרת!
נהדרת,great / great (sg. fem.) / terrific (sg. fem.),28,1,1,הגבינה הזאת נהדרת!
אדריכל,architect (m),28,1,1,הוא אדריכל מפורסם.
מפורסם,famous (sg. masc.),28,1,1,הוא אדריכל מפורסם.
שזה,that it is / that this is,28,1,1,אני חושב שזה דבר חיובי.
דבר,a thing / speak (imp.) / thing,28,1,1,אני חושב שזה דבר חיובי.
חיובי,positive (sg. masc.),28,1,1,אני חושב שזה דבר חיובי.
כל,all / all of / each / entire / every / everyday / everything / so / so much / such / whatever / whole,29,5,7,הם באים לכאן כל יום.
עכשיו,now,29,3,4,"הוא עובד עכשיו, כמו תמיד."
באים,are coming / come,29,1,1,הם באים לכאן כל יום.
לכאן,(to) here / here,29,1,1,הם באים לכאן כל יום.
די,pretty / quite / rather,29,1,1,אני די אוהבת את הצבע הזה.
ממש,really,29,1,1,אני ממש אוהב את האוכל של אמא.
כמו,as / as always / like,29,1,1,"הוא עובד עכשיו, כמו תמיד."
תמיד,always / as always,29,1,1,"הוא עובד עכשיו, כמו תמיד."
בקושי,barely / hardly / with difficulty,29,1,1,אני בקושי מכיר אותו.
מכיר,know / knows / recognize,29,1,1,אני בקושי מכיר אותו.
כבר,already / anymore / no longer / not anymore / yet,30,4,4,"יש לי כבר נכד, עכשיו אני רוצֶה נכדה."
בוקר,breakfast / breakfasts / for breakfast / morning / to breakfast,30,4,4,אני ובן דודי אוכלים ארוחת בוקר.
יודעת,know / knows,30,2,2,"את יודעת, הבן שלי רופא."
הבן,the boy / the child / the son,30,1,1,"את יודעת, הבן שלי רופא."
רופא,a doctor / doctor,30,1,1,"את יודעת, הבן שלי רופא."
אחים,brothers / siblings,30,1,1,יש לי שני אחים גדולים ואח אחד קטן.
גדולים,"big / big (m,p) / large",30,1,1,יש לי שני אחים גדולים ואח אחד קטן.
ואח,and a brother,30,1,1,יש לי שני אחים גדולים ואח אחד קטן.
אחד,just anyone / one (masc.),30,1,1,יש לי שני אחים גדולים ואח אחד קטן.
בעל,husband,30,1,1,הם בעל ואישה.
ואישה,and a wife,30,1,1,הם בעל ואישה.
נכד,grandson,30,1,1,"יש לי כבר נכד, עכשיו אני רוצֶה נכדה."
נכדה,granddaughter,30,1,1,"יש לי כבר נכד, עכשיו אני רוצֶה נכדה."
ובן,and my cousin,30,1,1,אני ובן דודי אוכלים ארוחת בוקר.
דודי,and my cousin,30,1,1,אני ובן דודי אוכלים ארוחת בוקר.
אוכלים,are eating / eat / eating,30,1,1,אני ובן דודי אוכלים ארוחת בוקר.
בן,boy / my partner / son / years old (sg. masc.),30,1,1,בן זוגי מבשל לי אוכל טעים.
זוגי,my partner,30,1,1,בן זוגי מבשל לי אוכל טעים.
כמה,a few / how / how many / how much,31,6,6,כמה מדרגות יש בבית שלךָ?
נמצא,is / is found / located / was found,31,3,3,המפתח שלךָ נמצא על השולחן.
המפתח,the key,31,2,2,המפתח שלךָ נמצא על השולחן.
בבית,at home / home / in the house,31,2,2,כמה מדרגות יש בבית שלךָ?
השירותים,the bathroom / the restroom / the toilet,31,1,1,"סליחה, איפה השירותים?"
השולחן,the table,31,1,1,המפתח שלךָ נמצא על השולחן.
מדרגות,stairs,31,1,1,כמה מדרגות יש בבית שלךָ?
מנקֶה,clean / cleans / is cleaning,31,1,1,אני מנקֶה את הגג.
הגג,the roof,31,1,1,אני מנקֶה את הגג.
מכונת,laundry machine / washing machine,31,1,1,"אני צריך מכונת כביסה חדשה, זאת כבר לא טובה."
כביסה,laundry / laundry machine / washing machine,31,1,1,"אני צריך מכונת כביסה חדשה, זאת כבר לא טובה."
המשפחה,the family,32,3,3,המשפחה שלי אוהבת את עוגת השוקולד שלה.
בתי,hospitals / hotels,32,1,2,"האדריכל הזה מעצב בתי חולים, בתי מלון ובתי משפט."
מבקבוק,from the bottle of water / from the water bottle,32,1,1,הילד שותֶה מבקבוק המים.
המים,from the bottle of water / from the water bottle / the water,32,1,1,הילד שותֶה מבקבוק המים.
עוגת,the chocolate cake,32,1,1,המשפחה שלי אוהבת את עוגת השוקולד שלה.
השוקולד,the chocolate / the chocolate cake,32,1,1,המשפחה שלי אוהבת את עוגת השוקולד שלה.
למסעדה,to the restaurant,32,1,1,למסעדה הזאת יש ארוחות בוקר מצוינות.
ארוחות,breakfasts,32,1,1,למסעדה הזאת יש ארוחות בוקר מצוינות.
מצוינות,"excellent / excellent (f,p)",32,1,1,למסעדה הזאת יש ארוחות בוקר מצוינות.
האדריכל,the architect,32,1,1,"האדריכל הזה מעצב בתי חולים, בתי מלון ובתי משפט."
מעצב,design / designs / is designing,32,1,1,"האדריכל הזה מעצב בתי חולים, בתי מלון ובתי משפט."
חולים,hospitals,32,1,1,"האדריכל הזה מעצב בתי חולים, בתי מלון ובתי משפט."
מלון,hotel / hotels,32,1,1,"האדריכל הזה מעצב בתי חולים, בתי מלון ובתי משפט."
ובתי,and courthouses / and courtrooms,32,1,1,"האדריכל הזה מעצב בתי חולים, בתי מלון ובתי משפט."
משפט,and courthouses / and courtrooms / sentence,32,1,1,"האדריכל הזה מעצב בתי חולים, בתי מלון ובתי משפט."
להיות,be / becoming / it's possible / maybe / might / to be / to become,33,4,5,"להיות או לא להיות, זאת השאלה."
לעשות,do / nothing can be done / there is nothing to do / to do,33,3,3,אין מה לעשות שם.
שם,adjective / is putting / name / noun / over there / puts / there,33,2,3,אין מה לעשות שם.
השאלה,the question,33,1,1,"להיות או לא להיות, זאת השאלה."
לכתוב,to write / writing,33,1,1,מה אתה רוצֶה לכתוב?
למנוע,prevent / to deprive / to prevent,33,1,1,אני לא רוצָה למנוע את זה ממנו.
יותר,any longer / any more / more / taller / too / too many / too much,34,3,4,"יותר מדי מעונן, אני לא רואֶה את השמש."
השמש,in the solar system / the sun / the sun is,34,2,3,השמש חזקה היום.
יורד,descending / descends / falls / goes down / it is raining / rain,34,2,2,יורד גשם.
גשם,it is raining / rain,34,2,2,יורד גשם.
מדי,much / too / too many / too much,34,2,2,"יותר מדי מעונן, אני לא רואֶה את השמש."
עשרים,twenty,34,2,2,יש עכשיו עשרים מעלות בחוץ.
חזקה,strong,34,1,1,השמש חזקה היום.
הטמפרטורה,the temperature / the temperature is,34,1,1,מה הטמפרטורה עכשיו?
מעונן,cloudy,34,1,1,"יותר מדי מעונן, אני לא רואֶה את השמש."
רואֶה,is seeing / see / sees,34,1,1,"יותר מדי מעונן, אני לא רואֶה את השמש."
מעלות,degrees,34,1,1,יש עכשיו עשרים מעלות בחוץ.
גר,is living / live / lives,35,1,1,מי גר ברחוב הזה?
ברחוב,in the street,35,1,1,מי גר ברחוב הזה?
משחקים,are playing / play / playing,35,1,1,הילדים משחקים לאורך החוף.
לאורך,along,35,1,1,הילדים משחקים לאורך החוף.
החוף,the beach / the coast,35,1,1,הילדים משחקים לאורך החוף.
בנק,a bank,35,1,1,יש בנק קרוב לפה?
קרוב,close / near,35,1,1,יש בנק קרוב לפה?
לפה,to here,35,1,1,יש בנק קרוב לפה?
חמש,five (fem.),35,1,1,חמש דקות מערב מפה יש מוזיאון מעניין.
דקות,minutes,35,1,1,חמש דקות מערב מפה יש מוזיאון מעניין.
מערב,west,35,1,1,חמש דקות מערב מפה יש מוזיאון מעניין.
מפה,away / from here / map,35,1,1,חמש דקות מערב מפה יש מוזיאון מעניין.
מוזיאון,museum,35,1,1,חמש דקות מערב מפה יש מוזיאון מעניין.
מעניין,interesting (sg. masc.),35,1,1,חמש דקות מערב מפה יש מוזיאון מעניין.
מציע,offer / proposing / suggest,36,1,1,מה אתה מציע?
משכירים,lease / let / rent out,36,1,1,הם משכירים את הדירה של ההורים שלהם.
הדירה,the apartment / the flat,36,1,1,הם משכירים את הדירה של ההורים שלהם.
ההורים,the parents,36,1,1,הם משכירים את הדירה של ההורים שלהם.
מגיש,is serving / serve / serves,36,1,1,אבא מגיש את האוכל במטבח.
במטבח,in the kitchen,36,1,1,אבא מגיש את האוכל במטבח.
העוגות,the cakes / the cakes are,36,1,1,העוגות שלי לא מכילות הרבה סוכר!
מכילות,are containing / contain,36,1,1,העוגות שלי לא מכילות הרבה סוכר!
סוכר,sugar,36,1,1,העוגות שלי לא מכילות הרבה סוכר!
זוג,a couple / a pair / couple,37,2,2,אנחנו זוג.
חבר,a member / boyfriend / friend,37,1,1,אתה חבר שלי!
מערכת,a system / relationship / system,37,1,1,יש לנו מערכת יחסים טובה.
יחסים,relationship,37,1,1,יש לנו מערכת יחסים טובה.
הבחור,the boy / the guy / the young man,37,1,1,מי זה הבחור הזה?
שלושים,thirty / thirty five (fem.) / thirty two (fem.),38,1,2,שלושים וחמש או שלושים ושתיים?
מאות,four hundred / hundreds / seven hundred,38,1,2,שבע מאות כיסאות וגם ארבע מאות שולחנות?
וחמש,and five / thirty five (fem.),38,1,1,שלושים וחמש או שלושים ושתיים?
ושתיים,and two / thirty two (fem.),38,1,1,שלושים וחמש או שלושים ושתיים?
בשנות,in the nineties,38,1,1,אנחנו בשנות התשעים או השישים?
התשעים,in the nineties / the ninetieth,38,1,1,אנחנו בשנות התשעים או השישים?
השישים,the sixties,38,1,1,אנחנו בשנות התשעים או השישים?
שבע,seven (fem.) / seven hundred,38,1,1,שבע מאות כיסאות וגם ארבע מאות שולחנות?
כיסאות,chairs,38,1,1,שבע מאות כיסאות וגם ארבע מאות שולחנות?
וגם,and also,38,1,1,שבע מאות כיסאות וגם ארבע מאות שולחנות?
ארבע,four (fem.) / four hundred,38,1,1,שבע מאות כיסאות וגם ארבע מאות שולחנות?
שולחנות,tables,38,1,1,שבע מאות כיסאות וגם ארבע מאות שולחנות?
הממוצע,the average,38,1,1,הממוצע הוא עשרים אחוז.
אחוז,percent / percentage,38,1,1,הממוצע הוא עשרים אחוז.
מחר,tomorrow,39,3,4,אני אמור לבקר בירושלים מחר.
ביום,a day / in the day / on Friday / on Sabbath / on Saturday / on Shabbat / on Tuesday,39,2,3,היא אמורה לבוא ביום שישי.
שבת,on Sabbath / on Saturday / on Shabbat / saturday / shabbat,39,2,2,אנחנו עשויים לישון ביום שבת.
אמורה,should / supposed,39,1,1,היא אמורה לבוא ביום שישי.
לבוא,to come,39,1,1,היא אמורה לבוא ביום שישי.
שישי,on Friday,39,1,1,היא אמורה לבוא ביום שישי.
אמור,supposed,39,1,1,אני אמור לבקר בירושלים מחר.
לבקר,to visit,39,1,1,אני אמור לבקר בירושלים מחר.
בירושלים,in Jerusalem,39,1,1,אני אמור לבקר בירושלים מחר.
עשויה,liable / likely / might,39,1,1,אני עשויה לעשות את זה.
