hebrew,english,unit,challenge_type,solution_key,source
אני יונה.,I am a dove.,1,listenTap,6f9e9d9be264b2d2ffb68b8ba549ed16,duolingo_hebrew_sentences_2.tsv
את אוהבת לחם וחלב.,You like bread and milk.,1,translate,3559b05ce4dfc0221b43d7f57940ae56,duolingo_hebrew_sentences_2.tsv
את יונה ואני יונה.,You are a dove and I am a dove.,1,translate,95b34d673c3e6191c6004a15fa289ca9,duolingo_hebrew_sentences_2.tsv
אתה אוהב חלב ולחם.,You like milk and bread.,1,listenTap,109fac192b281bfa45f8b6f801536241,duolingo_hebrew_sentences_2.tsv
אתה אוהב יין.,You like wine.,1,translate,94c826e966a1ece5e9c6f09d10b627f7,duolingo_hebrew_sentences_2.tsv
אתה בא או הוא בא?,Are you coming or is he coming?,1,translate,9ba8b22a02abd1b8b9ea712636877844,duolingo_hebrew_sentences_2.tsv
אתם אוהבים חלב.,You like milk.,1,translate,7418b4d0250385f63abbb2f7133de5a0,duolingo_hebrew_sentences_2.tsv
האבא,The father,1,translate,946eb8d83da579182f41cc1550394253,duolingo_hebrew_sentences.tsv
האבא או האמא?,The dad or the mom?,1,translate,39e144bbe18540ecec6be35e5a6d0e30,duolingo_hebrew_sentences.tsv
האבא אוהב חלב ולחם.,The dad likes milk and bread.,1,listenTap,5ef782226592256db70fb85d6294ca1d,duolingo_hebrew_sentences_2.tsv
האבא אוהב חלב.,The dad likes milk.,1,translate,086fada68b42ba5ea6039b1fdd69b74e,duolingo_hebrew_sentences_2.tsv
האבא אוהב לחם וחלב.,The dad likes bread and milk.,1,listenTap,882ad739d41ec30cf2c5d35fcf3a9db9,duolingo_hebrew_sentences_2.tsv
האבא אוהב.,The dad loves.,1,translate,bb9e3db0565118a5d8838e8cd1adc501,duolingo_hebrew_sentences.tsv
האבא בא.,The dad is coming.,1,translate,f10fff34e9e127210571b14972594e3f,duolingo_hebrew_sentences.tsv
האבא בא?,Is the dad coming?,1,translate,e39239e6795364341e1bbb1b2d40e098,duolingo_hebrew_sentences.tsv
האם הוא בא?,Is he coming?,1,translate,3d1b9a6afcd5bf899af15e49880bcaf8,duolingo_hebrew_sentences.tsv
האם יונה באה?,Is a dove coming?,1,translate,d7c506bf2f5c6d392462e6ef0ceb034e,duolingo_hebrew_sentences_2.tsv
האמא או האבא?,The mom or the dad?,1,translate,fbece2cde631625efdcb65b161dee707,duolingo_hebrew_sentences.tsv
האמא אוהבת חלב ולחם.,The mother loves milk and bread.,1,listenTap,6782258859832e7450297b477623ebc1,duolingo_hebrew_sentences_2.tsv
האמא אוהבת לחם.,The mom likes bread.,1,translate,703f79c30284b0378b85275abed2ee9c,duolingo_hebrew_sentences_2.tsv
האמא באה.,The mom is coming.,1,translate,12bd71872f7032fe7bd0a93faf1af0b7,duolingo_hebrew_sentences.tsv
הוא אוהב.,He loves.,1,translate,f18f9f990064459ce17a16bf8e75b498,duolingo_hebrew_sentences.tsv
הוא בא.,He is coming.,1,translate,afe3b6d805566eb34d8c3a0f6edc2e67,duolingo_hebrew_sentences.tsv
הוא לא אוהב חלב.,He does not like milk.,1,translate,9472db38aa87d2d045e97aa6a2d1bf6c,duolingo_hebrew_sentences_2.tsv
החלב חם?,Is the milk hot?,1,listenTap,80bc6a13e2508c56d172e4211ea156db,duolingo_hebrew_sentences_2.tsv
היא באה.,She is coming.,1,listenTap,b3cc852be814909fd1290ccc4b1c7fb3,duolingo_hebrew_sentences_2.tsv
היונה אוהבת את אמא.,The dove loves mom.,1,translate,9af96fec907ca6852a611b5cd8715d08,duolingo_hebrew_sentences_2.tsv
היונה באה.,The dove is coming.,1,translate,35a509f370af3fa9cd8d8969bc2a1c2b,duolingo_hebrew_sentences_2.tsv
חלב,milk,1,assist,9060ec0576a6294b9aef94b14725dcee,duolingo_hebrew_sentences_2.tsv
חלב או מים?,Milk or water?,1,translate,7db99150d931dfbb6d51654a40845a9d,duolingo_hebrew_sentences_2.tsv
חלב חם.,Hot milk.,1,translate,c461b3a63aa95446af97bf6e7c1ab5ed,duolingo_hebrew_sentences_2.tsv
יונה,a dove,1,assist,979c243a42a2e5a0cf60cd0c117038ca,duolingo_hebrew_sentences_2.tsv
יונה באה.,A dove is coming.,1,translate,22c8866c3f93f7c230b294fab3c95b89,duolingo_hebrew_sentences_2.tsv
יין,wine,1,assist,9b59221bd72db8aca2aaa866c5b8997d,duolingo_hebrew_sentences_2.tsv
לחם,bread,1,assist,fc6fb7ddebfc8b189bb0a88c415e59e8,duolingo_hebrew_sentences_2.tsv
מים,water,1,assist,047c460364def427e390aeb337409bed,duolingo_hebrew_sentences_2.tsv
מים.,Water.,1,listenTap,64b023522081fb9d349401a44da370e5,duolingo_hebrew_sentences_2.tsv
אישה,A woman,2,translate,708ad4e48a98c9d226caa310893c9afb,duolingo_hebrew_sentences.tsv
אישה,a woman,2,assist,789115e44f7b65619f1ec9ee35d3d32a,duolingo_hebrew_sentences.tsv
אני אוכל.,I am eating.,2,translate,5e316f6a677bce249dcda3cbaf96b368,duolingo_hebrew_sentences.tsv
אני אוכלת לחם.,I am eating bread.,2,listenTap,2de8def110e9c8b083fc6d525264799d,duolingo_hebrew_sentences.tsv
אני אוכלת.,I am eating.,2,translate,579dcc355dcb8536597a3396d89d9f71,duolingo_hebrew_sentences.tsv
אני אישה.,I am a woman.,2,listenTap,c711f124e52f8181eae98a450c8840bc,duolingo_hebrew_sentences.tsv
אני גבר.,I am a man.,2,listenTap,28043de7d8a0f3e06fc50fabc49f4d5e,duolingo_hebrew_sentences_2.tsv
אני הולך.,I am walking.,2,translate,d51638734d5cde591a3d1e3e022a85d4,duolingo_hebrew_sentences.tsv
אני הולכת.,I am walking.,2,translate,151e40dc6e1d7a78384d03ecd6406f1f,duolingo_hebrew_sentences.tsv
אני ילד.,I am a boy.,2,listenTap,62d7a4cddce48db7cadb28ceb33efb25,duolingo_hebrew_sentences.tsv
אני ילדה.,I am a girl.,2,listenTap,211d28059e4187cb5c1e46fa89816f61,duolingo_hebrew_sentences.tsv
אני כן אוכל לחם.,I do eat bread.,2,translate,5ff09c11b97480a9783cba93bb6b394f,duolingo_hebrew_sentences.tsv
אני לא אוכל לחם.,I don't eat bread.,2,translate,e3c635e8ee51f95c9e2c5ac57be58cb1,duolingo_hebrew_sentences.tsv
אני רואֶה.,I see.,2,translate,c8c78a19b4ff58cbfacbf799cd54a021,duolingo_hebrew_sentences.tsv
אני רואָה גבר.,I see a man.,2,translate,2dbde30ea832c27f37daa821ad0173c8,duolingo_hebrew_sentences_2.tsv
אני רואָה משאית.,I see a truck.,2,listenTap,6878e267da3d594288b82e5d45102427,duolingo_hebrew_sentences.tsv
אני שמח.,I am happy.,2,translate,36112acedc1c0079c3004911f30c4cde,duolingo_hebrew_sentences.tsv
את אוכלת.,You are eating.,2,translate,08f92f8cd48f7a860ff8c6b229ebbda3,duolingo_hebrew_sentences.tsv
את הולכת.,You go.,2,translate,2c578c6595099dbadcda53eafb9a8b12,duolingo_hebrew_sentences.tsv
אתה אוכל לחם.,You are eating bread.,2,translate,340948502cd50b3209856fa120242a58,duolingo_hebrew_sentences.tsv
אתה אוכל.,You are eating.,2,translate,4dd950c344dc3a697d30e8e32b872c56,duolingo_hebrew_sentences.tsv
אתה הולך.,You are walking.,2,translate,babfa68b84c6710561bf6f549370161a,duolingo_hebrew_sentences_2.tsv
אתה ילד.,You are a boy.,2,listenTap,de8665bdd39f8825a9d7854aca78570e,duolingo_hebrew_sentences.tsv
אתה רואֶה משאית?,Do you see a truck?,2,listenTap,a7f7ae42aec121d5308e615db25eec88,duolingo_hebrew_sentences.tsv
אתה שותֶה חלב.,You are drinking milk.,2,translate,ba62745efec2a141706b4f283391799f,duolingo_hebrew_sentences.tsv
אתה שותֶה מים.,You are drinking water.,2,listenTap,35b937434000dd1643b422f8d335ac68,duolingo_hebrew_sentences.tsv
אתה שותֶה.,You are drinking.,2,translate,bc052548a685b37253938e268acfec3d,duolingo_hebrew_sentences.tsv
גבר.,A man.,2,translate,59ee034b8a023d72dee2b509d4549de7,duolingo_hebrew_sentences_2.tsv
האבא אוכל.,The dad is eating.,2,translate,408ba6475878cb68deb367bd26830ecd,duolingo_hebrew_sentences.tsv
האוכל בא.,The food is coming.,2,listenTap,563a0da6f38e8cade72398d1ddcc4fbe,duolingo_hebrew_sentences.tsv
האוכל בא?,Is the food coming?,2,translate,b6cc951c531f418d3c8af526169a37b3,duolingo_hebrew_sentences_2.tsv
האוכל חם.,The food is hot.,2,translate,202cab81fee1fc4c070ac20eeac75535,duolingo_hebrew_sentences.tsv
האוכל חם?,Is the food hot?,2,translate,7d318dda26ce459e87baaaaf6aa4a70c,duolingo_hebrew_sentences.tsv
האישה אוכלת לחם.,The woman is eating bread.,2,listenTap,b7e9967da9e4bc66142dcb04388dd020,duolingo_hebrew_sentences.tsv
האישה אוכלת.,The woman is eating.,2,translate,0ecc7ed712ff8fbe517a75a1edde841d,duolingo_hebrew_sentences.tsv
האישה שותָה מים.,The woman is drinking water.,2,translate,2bf2fb8006187e972124775b3894e703,duolingo_hebrew_sentences_2.tsv
האישה שותָה.,The woman is drinking.,2,translate,966ffe72163e99b084143f61831faf8b,duolingo_hebrew_sentences.tsv
האמא אוכלת לחם.,The mom is eating bread.,2,translate,8e2493d8003c1dcaf20de5257233cf27,duolingo_hebrew_sentences_2.tsv
האמא אוכלת.,The mom is eating.,2,translate,c6d0d63c0e3ade1622a00a7f8007ec8e,duolingo_hebrew_sentences.tsv
הגבר אוכל אגוז.,The man is eating a nut.,2,translate,a1e528eb4356ab05a7d1a9ce1501650b,duolingo_hebrew_sentences_2.tsv
הגבר אוכל.,The man is eating.,2,translate,253d312726e54cf671d62e2a0c147643,duolingo_hebrew_sentences_2.tsv
הגבר רואֶה משאית.,The man sees a truck.,2,translate,36f782854f9b72a9f0cc1ca757e04f4a,duolingo_hebrew_sentences_2.tsv
הגבר רואֶה.,The man sees.,2,listenTap,758a725c0e6ea728779f71fc801600d9,duolingo_hebrew_sentences_2.tsv
הגבר שותֶה.,The man is drinking.,2,translate,2d62b4d93b1016936e43312743aa7a97,duolingo_hebrew_sentences_2.tsv
הוא אוכל לחם.,He is eating bread.,2,translate,ba41141683abcb65a7ad8ac9a62a6510,duolingo_hebrew_sentences.tsv
הוא אוכל.,He is eating.,2,translate,e09c1d9d558855a9341cf60e3205285e,duolingo_hebrew_sentences.tsv
הוא גבר.,He is a man.,2,translate,29c13ced4fd8662d50cc1f052f75fcc3,duolingo_hebrew_sentences_2.tsv
הוא הולך.,He is walking.,2,translate,50c662c5db0e9fb7c9473c4b41f05684,duolingo_hebrew_sentences.tsv
הוא ילד.,He is a boy.,2,listenTap,d4d4ff87f069ac60402ec85769d248f8,duolingo_hebrew_sentences.tsv
הוא רואֶה.,He sees.,2,translate,ed325f1e97a9b62e50dee806875dec70,duolingo_hebrew_sentences.tsv
הוא שמח.,He is happy.,2,translate,2b6a4278969663390bb329b352f0647e,duolingo_hebrew_sentences.tsv
היא אישה.,She is a woman.,2,listenTap,394e98a591d3535974b1983bdac776f4,duolingo_hebrew_sentences.tsv
היא הולכת.,She is walking.,2,translate,0d6c2e0a83eaf58f36aac3857dc3c448,duolingo_hebrew_sentences.tsv
היא רואָה יונה.,She sees a dove.,2,translate,3e28438f6c78d45a56e9a13dd32d8df6,duolingo_hebrew_sentences.tsv
היא שותָה חלב.,She is drinking milk.,2,translate,b0a27d6518c89687b3070834df3969d4,duolingo_hebrew_sentences.tsv
היא שותָה מים.,She is drinking water.,2,translate,2f01b240c169400074db7bce2c4e9986,duolingo_hebrew_sentences.tsv
היא שותָה.,She is drinking.,2,translate,36e4e18fbf4ad97dc0dae19d38dc955b,duolingo_hebrew_sentences.tsv
היונה אוכלת לחם.,The dove is eating bread.,2,translate,c8b268611b36aa1cf0ca6985ba461940,duolingo_hebrew_sentences.tsv
הילד,The boy,2,translate,8d65f8e5d52c3bd9e6854399e14c1a1b,duolingo_hebrew_sentences.tsv
הילד אוכל לחם.,The boy is eating bread.,2,translate,6fddda7bfa0ca47d2c0c288f36857ccd,duolingo_hebrew_sentences.tsv
הילד אוכל.,The boy is eating.,2,translate,c98a49861b1c70d23f12be35b2e4db77,duolingo_hebrew_sentences.tsv
הילד שותֶה מים.,The boy is drinking water.,2,listenTap,ae03ab6ed5e12e961b197556b1d33378,duolingo_hebrew_sentences.tsv
הילד שותֶה.,The boy is drinking.,2,translate,d1504062ec47642db964f22b82c8340f,duolingo_hebrew_sentences.tsv
הילדה אוכלת לחם.,The girl is eating bread.,2,translate,45d6ebec3dc5a658fe907498e68d64aa,duolingo_hebrew_sentences.tsv
הילדה אוכלת.,The girl is eating.,2,listenTap,6e6fb923918a1a925b7834b51d18860f,duolingo_hebrew_sentences.tsv
הילדה רואָה אגוז.,The girl sees a nut.,2,translate,b25457562a76414a66ba97fe526bad4f,duolingo_hebrew_sentences_2.tsv
הילדה רואָה דרך.,The girl sees a way.,2,translate,613d3215503870a228c1f0f642f07433,duolingo_hebrew_sentences.tsv
הילדה רואָה.,The girl sees.,2,listenTap,ed696a1425ba4212dfd85edad271d82e,duolingo_hebrew_sentences.tsv
הילדה שותָה.,The girl is drinking.,2,translate,6d36ef8f3f6e6219846e329983260194,duolingo_hebrew_sentences.tsv
הכלב אוכל לחם?,Is the dog eating bread?,2,translate,fbd5e274f61865c384e6e358fb980e78,duolingo_hebrew_sentences.tsv
הכלב אוכל.,The dog is eating.,2,translate,2283e95db37da3c9d9b1df6db9dcb35b,duolingo_hebrew_sentences.tsv
הכלב הולך.,The dog is walking.,2,translate,a061ff6a6650dbd601e65076b51e00c8,duolingo_hebrew_sentences.tsv
המלך אוכל לחם.,The king is eating bread.,2,translate,08aa063e94ba7833f5d05c82c37ce734,duolingo_hebrew_sentences.tsv
המלך בא.,The king is coming.,2,translate,34e170fb5cd9c492d795c40eb45b426b,duolingo_hebrew_sentences.tsv
המלך הולך.,The king is walking.,2,translate,d5ef6d06877056edb3ae40c6da77f2e5,duolingo_hebrew_sentences.tsv
המלך לא אוהב יין.,The king does not like wine.,2,listenTap,c6fbd1a5af99fa257e9813743de964f7,duolingo_hebrew_sentences.tsv
המלך רואֶה יונה.,The king sees a dove.,2,translate,c66974f4572c6587e41157f85e44daef,duolingo_hebrew_sentences.tsv
זאת אישה.,This is a woman.,2,translate,f537db43c990dfd3ca71511b28e65a65,duolingo_hebrew_sentences_2.tsv
זאת הילדה.,This is the girl.,2,translate,141cef105f83df008397cd01ea7ea7c5,duolingo_hebrew_sentences_2.tsv
זאת ילדה.,This is a girl.,2,translate,508ae4bb6b247f50f324746fee918ebc,duolingo_hebrew_sentences_2.tsv
יונה אוכלת לחם.,A dove is eating bread.,2,translate,cb6dfd6e23ef924785883b5efd9380f1,duolingo_hebrew_sentences.tsv
ילד,A boy,2,translate,0a69cd3993e67609c03b5114d3f8a454,duolingo_hebrew_sentences_2.tsv
ילדה,A girl,2,translate,e02c6f82e90e50019c3c566038e2a697,duolingo_hebrew_sentences.tsv
כלב,a dog,2,assist,4ece4c97993fb38fe065cb8cd603760b,duolingo_hebrew_sentences.tsv
כלב אוכל לחם.,A dog is eating bread.,2,listenTap,76a9bc5ecf7296253c0055b767622a22,duolingo_hebrew_sentences.tsv
כלב בא.,A dog is coming.,2,listenTap,ffa957c4875a92d05790192913fbcbad,duolingo_hebrew_sentences.tsv
כלב הולך.,A dog is walking.,2,listenTap,2f80a768bdf2209a8df8d2b796da4925,duolingo_hebrew_sentences.tsv
"כן, אמא.","Yes, mom.",2,translate,e98a03f021be7b111afa0eb26efe94ef,duolingo_hebrew_sentences.tsv
כן.,Yes.,2,listenTap,1b41ba5af50ccdad0c36403ed375ff0c,duolingo_hebrew_sentences.tsv
"לא, אני לא אוכל לחם.","No, I am not eating bread.",2,translate,3734c62f24a90f10e713e70216b04f6f,duolingo_hebrew_sentences.tsv
"לא, הוא לא רואֶה משאית.","No, he doesn't see a truck.",2,translate,294519fa8a11e2790b25faaea1add916,duolingo_hebrew_sentences.tsv
אני אוכל עוגה.,I am eating a cake.,3,listenTap,fdd575e6e81ff2962ad7633126bd9e16,duolingo_hebrew_sentences_2.tsv
אני אוכל עוף.,I am eating chicken.,3,listenTap,6d8e70775e3df90fe4796f8c7ff7bf90,duolingo_hebrew_sentences_2.tsv
אני אוכל תפוז.,I am eating an orange.,3,translate,0afcbbdc6b788a897d563086435976e5,duolingo_hebrew_sentences.tsv
אני אוכל תפוח.,I am eating an apple.,3,translate,368bc28e173e89dc86ec50148630afb9,duolingo_hebrew_sentences_2.tsv
אני לא רוצֶה תפוח חמוץ.,I don't want a sour apple.,3,translate,e05f6008f7dd02ca610e70637d978be2,duolingo_hebrew_sentences_2.tsv
אני עצוב.,I am sad.,3,translate,1cb29e7047afdb89ae70c97054605495,duolingo_hebrew_sentences_2.tsv
אני קורא עיתון.,I am reading a newspaper.,3,translate,0d27007eb87b8af66455c784a1983f82,duolingo_hebrew_sentences_2.tsv
אני קורא.,I am reading.,3,translate,0545b16278b7b599797b1a80968119f5,duolingo_hebrew_sentences.tsv
אני קוראת ספר.,I am reading a book.,3,translate,942e47e6f8746b30f3bbc1d8112ed435,duolingo_hebrew_sentences.tsv
אני רואֶה ילד אוכל תפוח.,I see a boy eating an apple.,3,translate,7d667e928b34af533fe3fbbb5d1f1a53,duolingo_hebrew_sentences.tsv
אני רוצֶה ילד.,I want a boy.,3,listenTap,120896fc3c84295180099861a5bb271c,duolingo_hebrew_sentences_2.tsv
אני רוצֶה מים.,I want water.,3,translate,08c3744e86f6f6a1c124c692819604b9,duolingo_hebrew_sentences_2.tsv
אני רוצֶה עוגה.,I want a cake.,3,translate,1d088a391343cf5a0aca6065af84120e,duolingo_hebrew_sentences_2.tsv
אני רוצָה תפוח.,I want an apple.,3,translate,c756a4547993d7bf40292c4eb6e58aae,duolingo_hebrew_sentences_2.tsv
אני שותֶה מיץ.,I am drinking juice.,3,translate,b08dadf7f50da67ae0641ab7f4b460ee,duolingo_hebrew_sentences_2.tsv
את שותָה מיץ ואני קורא עיתון.,You are drinking juice and I am reading a newspaper.,3,translate,3dc6002a589489a359c3112cac6f1fe2,duolingo_hebrew_sentences_2.tsv
אתה אוכל תפוז.,You are eating an orange.,3,translate,86bab096cfb0d9d8fc98cfc443261860,duolingo_hebrew_sentences_2.tsv
אתה אוכל תפוח.,You are eating an apple.,3,translate,835b57f96d052a1c97369f8229a04259,duolingo_hebrew_sentences_2.tsv
האבא אוכל אפרסק.,The dad is eating a peach.,3,translate,45bc4b5c7d4e34cdf5ca08808bab9300,duolingo_hebrew_sentences.tsv
האישה קוראת.,The woman is reading.,3,listenTap,862bc8dc5f7ec300d1a9697e81f9f224,duolingo_hebrew_sentences.tsv
האישה רואָה גבר יפֶה.,The woman sees a handsome man.,3,translate,ca403fae081544887e70d98adfeb109e,duolingo_hebrew_sentences.tsv
האישה רוצָה לחם.,The woman wants bread.,3,listenTap,ba1494aa25c8c7dc766b8cd0bf9cd193,duolingo_hebrew_sentences_2.tsv
הגבר אוכל תפוז יפֶה.,The man is eating a pretty orange.,3,translate,a6414165f323c7cc3b1afb0c98879233,duolingo_hebrew_sentences.tsv
הגבר קורא ספר.,The man is reading a book.,3,translate,9fda44e984c3573294d5b5d3706047ae,duolingo_hebrew_sentences.tsv
הוא קורא ספר.,He is reading a book.,3,translate,581e54e1659f3e37dac6aa3bbf26183e,duolingo_hebrew_sentences.tsv
היא אוכלת עוף ולחם.,She is eating chicken and bread.,3,translate,4465816a1d7ebebfc356fce8863eae7c,duolingo_hebrew_sentences_2.tsv
היא קוראת.,She is reading.,3,translate,92a2d19e46780ff365e96f141e023bba,duolingo_hebrew_sentences.tsv
הילד לא רוצֶה מים.,The boy doesn't want water.,3,translate,536ec5626ef1527ff6e1040b8d3938e2,duolingo_hebrew_sentences_2.tsv
הילד קורא.,The boy is reading.,3,listenTap,764616d2b3310c7a0960e1ca46b51025,duolingo_hebrew_sentences.tsv
הילד רוצֶה ספר.,The boy wants a book.,3,translate,aa12feaa0c675ee5bb416cfa049cbe49,duolingo_hebrew_sentences_2.tsv
הילדה אוכלת לחם מתוק.,The girl is eating sweet bread.,3,translate,d81ea661da4faa5b68dfdb06702d5d35,duolingo_hebrew_sentences.tsv
הילדה אוכלת תפוז.,The girl is eating an orange.,3,translate,26f77bca525015c13f9834c722f178e4,duolingo_hebrew_sentences.tsv
הילדה קוראת ספר.,The girl is reading a book.,3,translate,d6137a7bfb79d64301b63936b0504fcd,duolingo_hebrew_sentences.tsv
הילדה קוראת.,The girl is reading.,3,translate,95415dcc75a334f7a0b77ac7c54e809d,duolingo_hebrew_sentences.tsv
הילדה שותָה מיץ מתוק.,The girl is drinking sweet juice.,3,translate,956a185bcee2e320230342e90397a4a3,duolingo_hebrew_sentences_2.tsv
הכלב יפֶה.,The dog is pretty.,3,translate,0990dd6730d4a86712c3004eb36995b7,duolingo_hebrew_sentences.tsv
המלך קורא.,The king is reading.,3,translate,d3ef1393eafa7bffd474d5760f206e67,duolingo_hebrew_sentences.tsv
הספר יפֶה.,The book is nice.,3,listenTap,53b2b60f2f3ac71a5c759a8b32e65cf3,duolingo_hebrew_sentences.tsv
התפוז או התפוח?,The orange or the apple?,3,translate,10cccc66707235dbf34bbef47ac12064,duolingo_hebrew_sentences.tsv
התפוז לא מתוק.,The orange is not sweet.,3,translate,827686429116e70f155c3275aad70e34,duolingo_hebrew_sentences.tsv
התפוז.,The orange.,3,translate,4be9c1680f04cc71050855a454debc41,duolingo_hebrew_sentences.tsv
התפוח חמוץ?,Is the apple sour?,3,translate,47faefd2b796ad9e4333c9f290092f80,duolingo_hebrew_sentences_2.tsv
התפוח מתוק.,The apple is sweet.,3,translate,b7c3f80578317665799eb89c000ef162,duolingo_hebrew_sentences.tsv
התפוח.,The apple.,3,translate,1ea0a43f1014530b735a87cb7ce8cdca,duolingo_hebrew_sentences.tsv
זה התפוז.,This is the orange.,3,translate,34b9f55e1c99674982e889639e99382d,duolingo_hebrew_sentences.tsv
זה התפוח.,This is the apple.,3,listenTap,6f338cdce01a0cf96aac9a5c5873b51b,duolingo_hebrew_sentences.tsv
זה כיף!,This is fun!,3,translate,a60aa231ee280cb076b916864f05b1c4,duolingo_hebrew_sentences.tsv
זה ספר יפֶה.,This is a nice book.,3,listenTap,3248033626253bb5d6aa6c6db4e083a6,duolingo_hebrew_sentences.tsv
זה עיתון.,This is a newspaper.,3,listenTap,2fcdad8590ab0b9e6db56eee198b19b3,duolingo_hebrew_sentences_2.tsv
זה תפוז.,This is an orange.,3,listenTap,add66832a6373b74e556a02083cc3f95,duolingo_hebrew_sentences.tsv
"כן, זה כיף.","Yes, this is fun.",3,listenTap,b45026217c035b3a719d3d69163a2dd3,duolingo_hebrew_sentences.tsv
"לא, זה לא כיף.","No, this is not fun.",3,translate,2d08e1bcb7795dd8890bd110668e7ece,duolingo_hebrew_sentences.tsv
מתוק,sweet,3,assist,455e7c221aa477409951b88e170fe619,duolingo_hebrew_sentences.tsv
תפוז,an orange,3,assist,94419aec576ff44e932b40bc8186addf,duolingo_hebrew_sentences.tsv
תפוז או תפוח?,An orange or an apple?,3,listenTap,c51e1c0a49539443166b6832e3ec8fff,duolingo_hebrew_sentences_2.tsv
תפוח או אפרסק?,An apple or a peach?,3,translate,06312b54462c27f210516a8bf9806d5a,duolingo_hebrew_sentences.tsv
תפוח יפֶה.,A pretty apple.,3,translate,6c8046613e115e475be9494db637cca7,duolingo_hebrew_sentences.tsv
"אבא, מה קורה?","Dad, what's happening?",4,listenTap,e9e0d20e04da55a82afb3a325c40548a,duolingo_hebrew_sentences.tsv
אולי לא.,Maybe not.,4,translate,e3fa7e2c7f0ab969c08a6319ec8c1d3a,duolingo_hebrew_sentences.tsv
אולי.,Maybe.,4,listenTap,ad291c9b89a59cdb0766e8a07d71c2a7,duolingo_hebrew_sentences.tsv
אין בעד מה!,You are welcome!,4,translate,d8ccc196223a807b08aa3a4c2de1ac75,duolingo_hebrew_sentences.tsv
"אמא, מה נשמע?","Mom, what's up?",4,translate,7cf5e0664f3c43767628f9586b14ab4e,duolingo_hebrew_sentences.tsv
אנגלית,English,4,assist,ca34095f5586cc35f4f1f7bf39f1bab1,duolingo_hebrew_sentences.tsv
אני בסדר.,I am OK.,4,translate,bea274de85789465c0e3a63863867ab0,duolingo_hebrew_sentences.tsv
אני לא מדברת אנגלית.,I do not speak English.,4,listenTap,adff5892fbe1fd299ac4afdaa520be03,duolingo_hebrew_sentences.tsv
אני מדבר אנגלית.,I speak English.,4,translate,82d6833978300ec907e7922a5911cb9d,duolingo_hebrew_sentences.tsv
אני מדבר עברית.,I speak Hebrew.,4,translate,60d68a7ef11eaff1b4b750d0c5dbe2ac,duolingo_hebrew_sentences.tsv
אני מדברת אנגלית.,I speak English.,4,listenTap,b6abe31a59bcbe90eca564ac1dd83399,duolingo_hebrew_sentences.tsv
אני מדברת עברית.,I speak Hebrew.,4,translate,ed17c97d00266910a55960f797bb3528,duolingo_hebrew_sentences.tsv
אני רוצֶה אפרסק בבקשה.,I want a peach please.,4,translate,439d7471d68470e7591cd407f74d7719,duolingo_hebrew_sentences.tsv
אתה בסדר?,Are you OK?,4,translate,c7e7949e9efa8d1f71f9310fbca869d5,duolingo_hebrew_sentences.tsv
בבקשה!,Please!,4,translate,f7ebf490b85dc2ab65727822c4dc9a20,duolingo_hebrew_sentences.tsv
"בבקשה, אין בעד מה!","Please, you are welcome!",4,translate,0d5b92c1f6f28033dc1760f0efc4f2d7,duolingo_hebrew_sentences.tsv
