hebrew,hebrew_alt,english,transliteration,skill,page
רואים,,See (m.p - pres.),ro'im,Letters 2,5
רואות,,See (f.p - pres.),ro'ot,Letters 2,5
לשתות,,To Drink (Qal),lish'tot,Letters 2,5
שותה,,Drink (m.s - pres.),shoteh,Letters 2,5
שותה,,Drink (f.s - pres.),shotah,Letters 2,5
שותים,,Drink (m.p - pres.),shotim,Letters 2,5
שׁוֹתוֹת,,Drink (f.p - pres.),shotot,Letters 2,5
תפוז,תפוזים,Orange (Fruit),tapuz tapuzim,Letters 3,5
תפוח,תפוחים,Apple,tapuakh tapukhim,Letters 3,5
כיף,,Fun,keif,Letters 3,5
ספר,ספרים,Book,sefer s'farim,Letters 3,5
אפרסק,אפרסקים,Peach,afarsek afar's'kim,Letters 3,5
עיתון,עיתונים,Newspaper,iton itonim,Letters 3,5
עוף,עופות,"Chicken, Fowl, Poultry (Food)",of ofot,Letters 3,5
מיץ,מיץים,Juice,mitz mitzim,Letters 3,5
עוגה,עוגות,Cake,ugah ugot,Letters 3,5
יפה,,Beautiful (m.s),yafeh,Letters 3,5
מתוק,,Sweet (m.s),matok,Letters 3,5
עצוב,,Sad (m.s),atzuv,Letters 3,5
רע,,Bad (m.s),ra,Letters 3,5
חמוץ,,Sour (m.s),khamutz,Letters 3,5
טוב,,Good (m.s),tov,Letters 3,5
טעים,,Tasty (m.s),ta'im,Letters 3,5
לקרוא,")ב-, את; ל-(","To Read (b-, et); Call (l-) (Qal)","lik'ro (b-, et; l-)",Letters 3,5
קורא,,Read (m.s - pres.),kore,Letters 3,5
קוראת,,Read (f.s - pres.),koret,Letters 3,5
קוראים,,Read (m.p - pres.),kor'im,Letters 3,5
קוראות,,Read (f.p - pres.),kor'ot,Letters 3,5
לרצות,,To Want (Qal),lir'ot,Letters 3,5
רוצה,,Want (m.s - pres.),rotzeh,Letters 3,5
רוצה,,Want (f.s - pres.),rotzah,Letters 3,5
רוצים,,Want (m.p - pres.),rotzim,Letters 3,5
רוצות,,Want (f.p - pres.),rotzot,Letters 3,5
שלום,,Hello,shalom,Phrases,5
לילה,לילות,Night,lai'lah leilot,Phrases,5
בוקר,בקרים,Morning,boker b'karim,Phrases,5
ערב,ערבים,Evening,erev aravim,Phrases,5
תודה,,Thanks,todah,Phrases,6
בהצלחה,,Good luck,b'hatzlakhah,Phrases,6
תודה רבה,,Thankyou Very Much,todah rabah,Phrases,6
עברית,,Hebrew,ivrit,Phrases,6
אנגלית,,English,ang'lit,Phrases,6
להתראות,,Goodbye,l'hit'raot,Phrases,6
מה נשמע,,How Are You?,mah nishma,Phrases,6
מה קורה,,"What's Happening?, What's Up?",mah koreh,Phrases,6
מה שלומך,,How Are You? (m),mah shlomekh,Phrases,6
מה שלומך,,How Are You? (f),mah shlomkha,Phrases,6
בסדר,,"Fine, All Right, Okay",b'seder,Phrases,6
סליחה,,Sorry,s'likhah,Phrases,6
בבקשה,,Please,b'vakashah,Phrases,6
אין בעד מה,,You Are Welcome,ein b'ad mah,Phrases,6
אולי,,"Maybe, Perhaps",ulai,Phrases,6
ברוך הבא,,Welcome (m),barukh haba,Phrases,6
ברוך הבאה,,Welcome (f),barukh haba'ah,Phrases,6
קוראים לי,,My Name Is,kor'im li,Phrases,6
מזל טוב,,Congratulations,mazal tov,Phrases,6
בתיאבון,,Bon Appetit,b'te'avon,Phrases,6
להנות,)מן(,To Enjoy (Nifal),lehanot,Phrases,6
תהנו,,Have Fun! (2.m.s - fut.),tehanu,Phrases,6
תהני,,Have Fun! (2.f.s - fut.),tehani,Phrases,6
גברים,,Men,g'varim,Basics,6
ילדים,,Children,y'ladim,Basics,6
נשים,,Women,nashim,Basics,6
אנחנו,,We (c.p),anakhnu,Basics,6
אתם,,You (2.m.p),atem,Basics,6
אתן,,You (2.f.p),aten,Basics,6
הם,,They (3.m.p),hem,Basics,6
הן,,They (3.f.p),hen,Basics,6
יש,,There Is,yesh,There Is,6
אין,,There Is No,ein,There Is,6
לי,,To Me,li,There Is,6
לך,,To You (m.s),l'kha,There Is,6
לך,,To You (f.s),lakh,There Is,6
לו,,To Him,lo,There Is,6
לה,,To Her,lah,There Is,6
לנו,,To Us,lanu,There Is,6
לכם,,To You (m.p),lakhem,There Is,6
לכן,,To You (f.p),lakhen,There Is,6
להם,,To Them/They (m),lahem,There Is,6
להן,,To Them/They (f),lahen,There Is,6
ל,,To,l',There Is,6
שמח,,Happy (m.s),sameakh,Adjectives Intro,7
שמחה,,Happy (f.s),s'mekhah,Adjectives Intro,7
שמחים,,Happy (m.p),s'mekhim,Adjectives Intro,7
שמחות,,Happy (f.p),s'mekhot,Adjectives Intro,7
עצוב,,Sad (m.s),atzuv,Adjectives Intro,7
עצובה,,Sad (f.s),atzuvah,Adjectives Intro,7
עצובים,,Sad (m.p),atzuvim,Adjectives Intro,7
עצובות,,Sad (f.p),atzuvot,Adjectives Intro,7
יפה,,Beautiful (m.s),yafeh,Adjectives Intro,7
יפה,,Beautiful (f.s),yafah,Adjectives Intro,7
יפים,,Beautiful (m.p),yafim,Adjectives Intro,7
יפות,,Beautiful (f.p),yafot,Adjectives Intro,7
טעים,,Tasty (m.s),ta'im,Adjectives Intro,7
טעימה,,Tasty (f.s),t'imah,Adjectives Intro,7
טעימים,,Tasty (m.p),t'imim,Adjectives Intro,7
טעימות,,Tasty (f.p),t'imot,Adjectives Intro,7
טוב,,Good (m.s),tov,Adjectives Intro,7
טובה,,Good (f.s),tovah,Adjectives Intro,7
טובים,,Good (m.p),tovim,Adjectives Intro,7
טובות,,Good (f.p),tovot,Adjectives Intro,7
רע,,Bad (m.s),ra,Adjectives Intro,7
רעה,,Bad (f.s),ra'ah,Adjectives Intro,7
רעים,,Bad (m.p),ra'im,Adjectives Intro,7
רעות,,Bad (f.p),ra'ot,Adjectives Intro,7
דג,דגים,Fish,dag dagim,Food 1,7
קפה,,Coffee,kafeh,Food 1,7
פרי,פירות,Fruit,p'ri perot,Food 1,7
סוכר,סוכרים,Sugar,sukar sukarim,Food 1,7
תות,תויות,Strawberry,tut tuyot,Food 1,7
בשר,בשרים,"Meat, Flesh",basar b'sarim,Food 1,7
מרק,מרקים,Soup,marak m'rakim,Food 1,7
שמן,שמנים,Oil,shemen sh'manim,Food 1,7
לימון,לימונים,Lemon,limon limonim,Food 1,7
כריך,כריכים,Sandwich,karikh k'rikhim,Food 1,7
מלח,מלחים,Salt,melakh m'lakhim,Food 1,7
בקר,,Beef,bakar,Food 1,7
בקבוק,בקבוקים,Bottle,bakbuk bak'bukim,Food 1,7
סלט,סלטים,Salad,salat salatim,Food 1,7
אננס,אננסים,Pineapple,ananas ananasim,Food 1,7
שוקולד,שוקולדים,Chocolate,shokolad/shokolad shokoladim,Food 1,7
זית,זיתים,Olive,zayit zeitim,Food 1,7
צלחת,צלחות,"Plate, Dish",tzalakhat tzalakhot,Food 1,7
ביצה,ביצים,Egg,beitzah beitzim,Food 1,7
ארוחת צהריים,ארוחות צהריים,Lunch,arukhat tzohorayim arukhot tzohorayim,Food 1,7
ארוחת בוקר,ארוחות בוקר,Breakfast,arukhat boker arukhot boker,Food 1,7
ארוחת ערב,ארוחות ערב,Dinner,arukhat erev arukhot erev,Food 1,7
פסטה,,Pasta,pastah,Food 1,7
בירה,בירות,Beer,birah birot,Food 1,8
גבינה,גבינות,Cheese,g'vinah g'vinot,Food 1,8
עגבניה,עגבניות,Tomato,ag'vaniyah ag'vaniyot,Food 1,8
בננה,בננות,Banana,banana bananot,Food 1,8
חמאה,חמאות,Butter,khem'ah khama'ot,Food 1,8
פטרייה,פטריות,Mushroom,pitriyah pit'riyot,Food 1,8
פיצה,פיצות,Pizza,pitzah pitzot,Food 1,8
רעב,,Hungry (m.s),ra'ev,Food 1,8
חתול,חתולים,Cat,khatul khatulim,Animals,8
כלב,כלבים,Dog,kelev k'lavim,Animals,8
סוס,סוסים,Horse (Stallion),sus susim,Animals,8
פיל,פילים,Elephant,pil pilim,Animals,8
ברווז,ברווזים,Duck (Drake),bar'vaz bar'vazim,Animals,8
צב,צבים,"Turtle, Tortoise",tzav tzabim,Animals,8
חמור,חמורים,Donkey,khamor khamorim,Animals,8
סרטן,סרטנים,Crab,sar'tan sar'tanim,Animals,8
עכביש,עכבישים,Spider,akavish akh'vishim,Animals,8
דוב,דובים,Bear,dov dubim,Animals,8
עכבר,עכברים,Mouse,akh'bar akh'barim,Animals,8
גמל,גמלים,Camel,gamal g'malim,Animals,8
אריה,אריות,Lion,aryeh arayot,Animals,8
נשר,נשרים,Eagle,nesher n'sharim,Animals,8
זבוב,זבובים,Fly,z'vuv z'vuvim,Animals,8
חרק,חרקים,"Insect, Bug",kherek kharakim,Animals,8
ארנב,ארנבים,Rabbit; Hare,ar'nav ar'navim,Animals,8
נחש,נחשים,"Snake, Serpent",nakhash n'khashim,Animals,8
קוף,קופים,"Monkey, Ape",kof kofim,Animals,8
זנב,זנבות,Tail,zanav z'navot,Animals,8
ינשוף,ינשופים,Owl,yan'shuf yan'shufim,Animals,8
תרנגול,תרנגולים,Rooster (Chicken),tar'n'gol tar'n'golim,Animals,8
חזיר,חזירים,Pig,khazir khazirim,Animals,8
חיית מחמד,חיות מחמד,Pet,khayat makh'mad khayot makh'mad,Animals,8
ציפור,ציפורים,Bird,tzipor tziporim,Animals,8
חיה,חיות,Animal,khayah khayot,Animals,8
דבורה,דבורים,Bee,d'vorah d'vorim,Animals,8
פרה,פרות,Cow,parah parot,Animals,8
חתולה,חתולות,Cat,khatulah khatulot,Animals,8
כלבה,כלבים,Dog,kal'bah k'lavim,Animals,8
סוסה,סוסות,Horse (Mare),susah susot,Animals,8
פילה,פילים,Elephant,pileh pilim,Animals,8
ברוזה,ברווזים,Duck,bar'vazah bar'vazim,Animals,8
צבה,צבים,"Turtle, Tortoise",tzabah tzabim,Animals,8
אתון,אתונות,Donkey,aton atonot,Animals,8
דובה,דובות,Bear,dubah dubot,Animals,8
לביאה,לביאות,Lioness,l'vi'ah l'vi'ot,Animals,8
ארנבת,ארנבות,Hare,ar'nevet ar'navot,Animals,8
תרנגולת,תרנגולות,Hen (Chicken),tar'n'golet tar'n'golot,Animals,8
לנבוח,,To Bark (Qal),lin'boakh,Animals,8
נובח,,Bark (m.s - pres.),noveakh,Animals,8
נובחת,,Bark (f.s - pres.),novakhat,Animals,8
נוֹ בְ חִים,,Bark (f.p - pres.),nov'khim,Animals,9
נוֹ בְחוֹת,,Bark (f.p - pres.),nov'khot,Animals,9
תפוחים,,Apples,tapukhim,Plurals,9
תפוזים,,Oranges,tapuzim,Plurals,9
כלבים,,Dogs,k'lavim,Plurals,9
חתולים,,Cats,khatulim,Plurals,9
סוסים,,Horses,susim,Plurals,9
עיתונים,,Newspapers,itonim,Plurals,9
ספרים,,Books,s'farim,Plurals,9
צבים,,Turtles,tzabim,Plurals,9
פילים,,Elephants,pilim,Plurals,9
כריכים,,Sandwiches,k'rikhim,Plurals,9
ברווזים,,Ducks,bar'vazim,Plurals,9
אריות,,Lions,arayot,Plurals,9
חיות מחמד,,Pets,khayot makh'mad,Plurals,9
יינות,,Wines,yayinot,Plurals,9
גבינות,,Cheeses,g'vinot,Plurals,9
בירות,,Beers,birot,Plurals,9
עוגות,,Cakes,ugot,Plurals,9
דרכים,,Roads,d'rakhim,Plurals,9
ציפורים,,Birds,tziporim,Plurals,9
צלחות,,Plates,tzalakhot,Plurals,9
כלבות,,Dogs (f.p),k'lavot,Plurals,9
סוסות,,Horses (f.p),susot,Plurals,9
חתולות,,Cats (f.p),khatulot,Plurals,9
ברווזות,,Ducks (f.p),bar'vazot,Plurals,9
פרות,,Cows,parot,Plurals,9
ילדות,,Girls,y'ladot,Plurals,9
שייך,)ל-(,Belongs To (m.s),shayakh l-,Possessives 1,9
שייכת,)ל-(,Belongs To (f.s),shayekhet l-,Possessives 1,9
שייכים,)ל-(,Belongs To (m.p),shayakhim l-,Possessives 1,9
שייכות,)ל-(,Belongs To (f.p),shayakhot l-,Possessives 1,9
שלי,,My,sheli,Possessives 1,9
שלך,,Your (m.s),shel'kha,Possessives 1,9
שלך,,Your (f.s),shelakh,Possessives 1,9
שלו,,His,shelo,Possessives 1,9
שלה,,Her,shelah,Possessives 1,9
שלנו,,Our,shelanu,Possessives 1,9
שלכם,,Your (m.p),shelakhem,Possessives 1,9
שלכן,,Your (f.p),shelakhen,Possessives 1,9
שלהם,,Their (m),shelahem,Possessives 1,9
שלהן,,Their (f),shelahen,Possessives 1,9
של,,Of,shel,Possessives 1,9
קטן,,Small,katan,Possessives 1,10
גדול,,Big,gadol,Possessives 1,10
חדש,,New,khadash,Possessives 1,10
ישן,,Old (Objects),yashan,Possessives 1,10
חם,,Hot,kham,Possessives 1,10
קר,,Cold,kar,Possessives 1,10
גבוה,,"Tall, High",gavoah,Possessives 1,10
נמוך,,"Short, Low (Height)",namukh,Possessives 1,10
קרוב,,Close,karov,Possessives 1,10
רחוק,,"Far, Distant",rakhok,Possessives 1,10
ארוך,,Long,arokh,Possessives 1,10
קצר,,"Short, Brief (Length, Time)",katzar,Possessives 1,10
איטי,,Slow,iti,Possessives 1,10
מהיר,,Fast; Nimble,mahir,Possessives 1,10
מלא,,Full,male,Possessives 1,10
ריק,,Empty,reik,Possessives 1,10
יבש,,Dry,yavesh,Possessives 1,10
רטוב,,Wet,ratuv,Possessives 1,10
צריך,,Need (m.s.),tzarikh,Direct Object,10
אותי,,Me,oti,Direct Object,10
אותך,,"Thee, You (m.s)",ot'kha,Direct Object,10
אותך,,"Thee, You (f.s)",otakh,Direct Object,10
אותו,,Him,oto,Direct Object,10
אותה,,Her,otah,Direct Object,10
אותנו,,Us,otanu,Direct Object,10
אתכם,,You (m.p),et'khem,Direct Object,10
אתכן,,You (f.p),et'khen,Direct Object,10
אותם,,Them (m),otam,Direct Object,10
אותן,,Them (f),otan,Direct Object,10
תה,,Tea,teh,Food 2,10
מזלג,מזלגות,Fork,maz'leg maz'l'got,Food 2,10
סכין,סכינות,Knife,sakin sakinot,Food 2,10
תפריט,תפריטים,Menu,tafrit tafritim,Food 2,10
רוטב,רטבים,"Sauce, Gravy, Dressing",rotev r'tavim,Food 2,10
ירק,ירקות,Vegetable,yerek y'rakot,Food 2,10
פלפל,פלפלים,"Pepper, Capsicum",pil'pel pil'p'lim,Food 2,10
מתכון,מתכונים,Recipe,mat'kon mat'konim,Food 2,10
דבש,,Honey,d'vash,Food 2,10
מטבח,מטבחים,Kitchen,mit'bakh mit'bakhim,Food 2,10
מלפפון,מלפפונים,Cucumber,m'laf'fon m'laf'fonim,Food 2,10
גזר,גזרים,Carrot,gezer g'zarim,Food 2,10
ממתק,ממתקים,Candy,mam'tak mam'takim,Food 2,10
אבטיח,אבטיחים,Watermelon,avatiakh avatikhim,Food 2,10
בוטן,בוטנים,Peanut,boten bot'nim,Food 2,10
בצל,בצלים,Onion,batzal b'tzalim,Food 2,11
ענב,ענבים,Grape,anav anavim,Food 2,11
אבוקדו,אבוקדואים,Avocado,avokado avokado'im,Food 2,11
תפוח אדמה,תפוחי אדמה,Potato,tapuakh adamah tapukhei adamah,Food 2,11
משקה,משקאות,"Beverage, Drink",mashkeh mashka'ot,Food 2,11
דובדבן,דובדבנים,Cherry,duvd'van duv'd'vanim,Food 2,11
מסטיק,מסטיקים,Gum,mastik mastikim,Food 2,11
מנגו,,Mango,man'go,Food 2,11
שום,שומים,Garlic,shum shumim,Food 2,11
ריח,ריחות,"Smell, Odour, Scent",reiakh rekhot,Food 2,11
טעם,טעמים,Taste,ta'am t'amim,Food 2,11
סיר,סירים,Pot,sir sirim,Food 2,11
מצרך,מצרכים,Ingredients,mitz'rakh mitz'rakhim,Food 2,11
קמח,קמחים,Flour,kemakh k'makhim,Food 2,11
ארוחה,ארוחות,Meal,arukhah arukhot,Food 2,11
כוס,כוסות,"Cup, Glass",kos kosot,Food 2,11
מפית,מפיות,Napkin,mapit mapiyot,Food 2,11
כף,כפות,Spoon,kaf kapot,Food 2,11
קערה,קערות,"Bowl, Dish",k'arah k'arot,Food 2,11
כפית,כפיות,Teaspoon,kapit kapiyot,Food 2,11
מסעדה,מסעדות,Restaurant,mis'adah mis'adot,Food 2,11
עוגייה,עוגיות,Cookie,ugiyah ugiyot,Food 2,11
ריבה,ריבות,Jam,ribah ribot,Food 2,11
גלידה,גלידות,Ice Cream,g'lidah g'lidot,Food 2,11
צמחוני,,Vegetarian (m.s),tzim'khoni,Food 2,11
צמא,,Thirsty (m.s),tzame,Food 2,11
מלוח,,Salty (m.s),maluakh,Food 2,11
חריף,,"Hot, Spicy (m.s)",kharif,Food 2,11
מר,,Bitter (m.s),mar,Food 2,11
לבשל,,"To Cook, Boil (Piel)",l'vashel,Food 2,11
מבשל,,Cook (m.s - pres.),m'vashel,Food 2,11
מבשלת,,Cook (f.s - pres.),m'vashelet,Food 2,11
מבשלים,,Cook (m.p - pres.),m'vash'lim,Food 2,11
מבשלות,,Cook (f.p - pres.),m'vashlot,Food 2,11
לאפות,,To Bake (Qal),le'efot,Food 2,11
אופה,,Bakes (m.s - pres.),ofeh,Food 2,11
אופה,,Bakes (f.s - pres.),ofah,Food 2,11
אופים,,Bakes (m.p - pres.),ofim,Food 2,11
אופות,,Bakes (f.p - pres.),ofot,Food 2,11
מעיל,מעילים,"Coat, Cloak",m'il m'ilim,Clothing,11
מכנסיים,,"Pants, Trousers",mikh'nasayim,Clothing,11
כובע,כובעים,"Hat, Cap",kova kova'im,Clothing,11
משקפיים,,Glasses,mishkafayim,Clothing,11
משקפי שמש,,Sunglasses,mish'kfei shemesh,Clothing,11
גרב,גרביים,"Sock, Stocking",gerev gar'bayim,Clothing,11
תכשיט,תכשיטים,A Piece of Jewellery,takhshit takh'shitim,Clothing,11
ג'ינס,,Jeans,jins,Clothing,11
בגד ים,בגדי ים,Swimsuit,beged yam big'di yam,Clothing,11
ז'קט,ז'קטים,Jacket,jaket jaketim,Clothing,11
סוודר,סוודרים,"Sweater, Jumper, Pullover",sveder s'vederim,Clothing,11
צמיד,צמידים,"Bracelet, Armlet",tzamid tz'midim,Clothing,12
צעיף,צעיפים,"Scarf, Shawl",tza'if tz'ifim,Clothing,12
כיס,כיסים,Pocket,kis kisim,Clothing,12
חולצה,חולצות,Shirt,khul'tzah khul'tzot,Clothing,12
נעל,נעליים,Shoe,na'al na'alayim,Clothing,12
חצאית,חצאיות,Skirt,khatza'it khatza'iyot,Clothing,12
שמלה,שמלות,"Dress, Gown, Robe",simlah s'malot,Clothing,12
חליפה,חליפות,Suit,khalifah khalifot,Clothing,12
חגורה,חגורות,Belt,khagorah khagorot,Clothing,12
כפפה,כפפות,Glove,k'fafah k'fafot,Clothing,12
טבעת,טבעות,Ring,taba'at taba'ot,Clothing,12
שרשרת,שרשרות,Chain,shar'sheret shar'sh'rot,Clothing,12
תחפושת,תחפושות,Costume,takh'poset takh'posot,Clothing,12
עניבה,עניבות,Tie,anivah anivot,Clothing,12
ללבוש,,"To Wear, Put On (Qal)",lil'bosh,Clothing,12
לובש,,Wear (m.s - pres.),lovesh,Clothing,12
לובשת,,Wear (f.s - pres.),loveshet,Clothing,12
לובשים,,Wear (m.p - pres.),lov'shim,Clothing,12
לובשות,,Wear (f.p - pres.),lov'shot,Clothing,12
לנעול,,"To Wear, Put On (Shoes) (Qal)",lin'ol,Clothing,12
נועל,,Wear (m.s - pres.),no'el,Clothing,12
נועלת,,Wear (f.s - pres.),no'elet,Clothing,12
נועלים,,Wear (m.p - pres.),no'alim,Clothing,12
נועלות,,Wear (f.p - pres.),no'alot,Clothing,12
לחבוש,,To Wear (Headgear) (Qal),lakh'bosh,Clothing,12
חובש,,Wear (m.s - pres.),khovesh,Clothing,12
חובשת,,Wear (f.s - pres.),khoveshet,Clothing,12
חובשים,,Wear (m.p - pres.),khov'shim,Clothing,12
חובשות,,Wear (f.p - pres.),khov'shot,Clothing,12
לענוד,,"To Wear, Put On (Ring) (Qal)",la'anod,Clothing,12
עונד,,Wear (m.s - pres.),oned,Clothing,12
עונדת,,Wear (f.s - pres.),onedet,Clothing,12
עונדים,,Wear (m.p - pres.),on'dim,Clothing,12
עונדות,,Wear (f.p - pres.),on'dot,Clothing,12
לשים,,To Put (Qal),lasim,Clothing,12
שם,,Put (m.s - pres.),sam,Clothing,12
שמה,,Put (f.s - pres.),samah,Clothing,12
שמים,,Put (m.p - pres.),samim,Clothing,12
שמות,,Put (f.p - pres.),samot,Clothing,12
להרכיב,,To Wear (Glasses) (Hifil),l'har'kiv,Clothing,12
מרכיב,,Wear (m.s - pres.),mar'kiv,Clothing,12
מרכיבה,,Wear (f.s - pres.),mar'kivah,Clothing,12
מרכיבים,,Wear (m.p - pres.),mar'kivim,Clothing,12
מרכיבות,,Wear (f.p - pres.),mar'kivot,Clothing,12
לגרוב,,To Wear (Socks) (Qal),lig'rov,Clothing,12
גורב,,Wear (m.s - pres.),gorev,Clothing,12
גורבת,,Wear (f.s - pres.),gorevet,Clothing,12
גורבים,,Wear (m.p - pres.),gor'vim,Clothing,12
גורבות,,Wear (f.p - pres.),gor'vot,Clothing,12
לכתוב,,Write (Qal),lik'tov,Clothing,13
כותב,,M.S.,kotev,Clothing,13
כותבת,,F.S.,kotevet,Clothing,13
כותבים,,M.P.,kot'vim,Clothing,13
כותבות,,F.P.,kot'vot,Clothing,13
לשחות,,Swim (Qal),lish'tot,Clothing,13
שוחה,,M.S.,sokheh,Clothing,13
שוחה,,F.S.,sokhah,Clothing,13
שוחים,,M.P.,sokhim,Clothing,13
שׂוֹחוֹת,,F.P.,sokhot,Clothing,13
לשמוע,,Hear; Listen (Qal),lish'moa,Clothing,13
שומע,,M.S.,shome'a,Clothing,13
שומעת,,F.S.,shoma'at,Clothing,13
שומעים,,M.P.,shom'im,Clothing,13
שומעות,,F.P.,shom'ot,Clothing,13
לישון,,Sleep (Qal),lishon,Clothing,13
ישן,,M.S.,yashen,Clothing,13
ישנה,,F.S.,y'shenah,Clothing,13
ישנים,,M.P.,y'shenim,Clothing,13
ישנות,,F.P.,y'shenot,Clothing,13
לגעת,,Touch (b-) (Qal),laga'at,Clothing,13
נוגע,ב-,M.S.,noge'a b-,Clothing,13
נוגעת,ב-,F.S.,noga'at b-,Clothing,13
נוגעים,ב-,M.P.,nog'im b-,Clothing,13
נוגעות,ב-,F.P.,nog'ot b-,Clothing,13
לומד,,To Say/Tell (Qal),lomad,Clothing,13
אומר,,M.S.,omer,Clothing,13
אומרת,,F.S.,omeret,Clothing,13
אומרים,,M.P.,om'rim,Clothing,13
אומרות,,F.P.,om'rot,Clothing,13
לעשות,,"Do, Make, Create (Qal)",la'asot,Clothing,13
עושה,,M.S.,oseh,Clothing,13
עושה,,F.S.,osah,Clothing,13
עושים,,M.P.,osim,Clothing,13
עושות,,F.P.,osot,Clothing,13
לעבוד,,Work; Operate; Function (Qal),la'avod,Clothing,13
עובד,,M.S.,oved,Clothing,13
עובדת,,F.S.,ovedet,Clothing,13
עובדים,,M.P.,ov'dim,Clothing,13
עובדות,,F.P.,ov'dot,Clothing,13
למצוא,,"Find, Encounter (Qal)",lim'tzo,Clothing,13
מוצא,,M.S.,motze,Clothing,13
מוצאת,,F.S.,motzet,Clothing,13
מוצאים,,M.P.,motz'im,Clothing,13
מוצאות,,F.P.,motz'ot,Clothing,13
לתמוך,,"Support, Sustain (Qal)",lit'mokh,Clothing,13
תומך,,M.S.,tomekh,Clothing,13
תומכת,,F.S.,tomekhet,Clothing,13
תומכים,,M.P.,tom'khim,Clothing,13
תומכות,,F.P.,tom'khot,Clothing,13
לקחת,,Take (Qal),lakakhat,Clothing,14
לוקח,,M.S.,lokeakh,Clothing,14
לוקחת,,F.S.,lokakhat,Clothing,14
לוקחים,,M.P.,lok'khim,Clothing,14
לוקחות,,F.P.,lok'khot,Clothing,14
לדעת,,Know (Qal),lada'at,Clothing,14
יודע,,M.S.,yode'a,Clothing,14
יודעת,,F.S.,yoda'at,Clothing,14
יודעים,,M.P.,yod'im,Clothing,14
יודעות,,F.P.,yod'ot,Clothing,14
לתת,,"Give, Allow (Qal)",latet,Clothing,14
נותן,,M.S.,noten,Clothing,14
נותנת,,F.S.,notenet,Clothing,14
נותנים,,M.P.,not'nim,Clothing,14
נותנות,,F.P.,not'not,Clothing,14
לקנות,,"Buy, Purchase (Qal)",lik'not,Clothing,14
קונה,,M.S.,koneh,Clothing,14
קונה,,F.S.,konah,Clothing,14
קונים,,M.P.,konim,Clothing,14
קונות,,F.P.,konot,Clothing,14
למכור,,Sell (Qal),lim'kor,Clothing,14
מוכר,,M.S.,mokher,Clothing,14
מוכרת,,F.S.,mokheret,Clothing,14
מוכרים,,M.P.,mokh'rim,Clothing,14
