unit,section,cefr,skill_name,teaching_objective,guidebook_heading,hebrew,english,audio_url
11,1,Intro,Possess.1,form the possessive,Form the possessive,זה שלךָ?,Is that yours?,https://d1vq87e9lcf771.cloudfront.net/he_v1/f592a890b49fb16fbc943ab767007140
11,1,Intro,Possess.1,form the possessive,Form the possessive,אני אוהב את האוכל שלהם.,I love their food.,https://d1vq87e9lcf771.cloudfront.net/he_v1/e87a3cd29dbc757d15708dddbce6e0a6
11,1,Intro,Possess.1,form the possessive,Form the possessive,הגמל שלכם?,Is the camel yours?,https://d1vq87e9lcf771.cloudfront.net/he_v1/09e17e8cd40a409ec188438314426ff9
12,1,Intro,Adj. 1,describe locations,Describe locations,זה רחוק!,That is far away!,https://d1vq87e9lcf771.cloudfront.net/he_v1/998ac7ba3196a013ab3f032ff9a94458
12,1,Intro,Adj. 1,describe locations,Describe locations,זאת דרך ארוכה.,This is a long path.,https://d1vq87e9lcf771.cloudfront.net/he_v1/2cc15f8ce02ac0d78644dd25fe1a3f27
12,1,Intro,Adj. 1,describe locations,Describe locations,היא גבוהה.,She is tall.,https://d1vq87e9lcf771.cloudfront.net/he_v1/ef2775f266c0a2c4cfdcdbfe62dc262c
12,1,Intro,Adj. 1,describe locations,Describe locations,המשאית של אברהם ריקה.,Abraham's truck is empty.,https://d1vq87e9lcf771.cloudfront.net/he_v1/2f7a4cd801427c92abac33a22b01e21a
13,1,Intro,Dir. Obj.,use object pronouns,Use object pronouns,"אני לא צריך אותם, יש לי אותךָ!","I do not need them, I have you!",https://d1vq87e9lcf771.cloudfront.net/he_v1/0507a435326c92b0560465ce2df55733
13,1,Intro,Dir. Obj.,use object pronouns,Use object pronouns,אני אוהב אותךְ.,I love you.,https://d1vq87e9lcf771.cloudfront.net/he_v1/7a0d04d9196221a4138f62926d830bc2
13,1,Intro,Dir. Obj.,use object pronouns,Use object pronouns,אנחנו רואות אותו.,We see him.,https://d1vq87e9lcf771.cloudfront.net/he_v1/41789af304e4583c17df534f5273e047
13,1,Intro,Dir. Obj.,use object pronouns,Use object pronouns,"אני רוצֶה אותן, הן שלי.","I want them, they are mine.",https://d1vq87e9lcf771.cloudfront.net/he_v1/0448cd337285be13a0b8b845503caf93
14,1,Intro,Food 2,order at a restaurant,Order at a restaurant,אתה רוצֶה כוס מיץ?,Would you like a glass of juice?,https://d1vq87e9lcf771.cloudfront.net/he_v1/61b6632388d6ff1e883f18e11226aafa
14,1,Intro,Food 2,order at a restaurant,Order at a restaurant,זה רוטב טעים!,This is a tasty sauce.,https://d1vq87e9lcf771.cloudfront.net/he_v1/a9672c12be15a1e214e4ebdb64238959
14,1,Intro,Food 2,order at a restaurant,Order at a restaurant,"סליחה, יש לכם סכין?","Excuse me, do you have a knife?",https://d1vq87e9lcf771.cloudfront.net/he_v1/5b07942d3d0c85f011c89cbcd68bfb99
14,1,Intro,Food 2,order at a restaurant,Order at a restaurant,אני צמחוני.,I am vegetarian.,https://d1vq87e9lcf771.cloudfront.net/he_v1/a99efd9e4b3b5c9024f36ab7e68b4305
15,1,Intro,Clothing,discuss clothes,Discuss clothes,החולצה שלךָ יפָה.,Your shirt is pretty.,https://d1vq87e9lcf771.cloudfront.net/he_v1/de853feb311cdaf62dfb4f6272a56d02
15,1,Intro,Clothing,discuss clothes,Discuss clothes,יש לי אותם מכנסיים.,I have the same pants.,https://d1vq87e9lcf771.cloudfront.net/he_v1/f0c2033fa18c766020bd1fdab5361740
15,1,Intro,Clothing,discuss clothes,Discuss clothes,אני צריך משקפי שמש.,I need sunglasses.,https://d1vq87e9lcf771.cloudfront.net/he_v1/ff6557d581e7139b335056058b88a16d
15,1,Intro,Clothing,discuss clothes,Discuss clothes,העניבות שלו יפות.,His ties are beautiful.,https://d1vq87e9lcf771.cloudfront.net/he_v1/2765fe4a3551834fd4b49999c312557e
16,1,Intro,Present 1,form verbs in the present,Form verbs in the present,אני כותבת ספר.,I am writing a book.,https://d1vq87e9lcf771.cloudfront.net/he_v1/f820f476f5ad680c70467964f140bf6c
16,1,Intro,Present 1,form verbs in the present,Form verbs in the present,האמא תומכת בילדים שלה.,The mom is supporting her children.,https://d1vq87e9lcf771.cloudfront.net/he_v1/84ad5945ed082169283f4b92885260da
16,1,Intro,Present 1,form verbs in the present,Form verbs in the present,הציפורים שרות.,The birds are singing.,https://d1vq87e9lcf771.cloudfront.net/he_v1/3f34213f636fb45a6eb2c553026d0fbb
16,1,Intro,Present 1,form verbs in the present,Form verbs in the present,הילדים גדלים.,The children are growing up.,https://d1vq87e9lcf771.cloudfront.net/he_v1/0f6dff899e19889869904a441c9d0350
17,2,A1,Colors,discuss colors,Discuss colors,הכובע שלי צהוב.,My hat is yellow.,https://d1vq87e9lcf771.cloudfront.net/he_v1/6697735f3ac6cc15c7c2de96523b8392
17,2,A1,Colors,discuss colors,Discuss colors,אני רוצָה צעיף ירוק.,I want a green scarf.,https://d1vq87e9lcf771.cloudfront.net/he_v1/e981a24450ab151fd226d726d71b8e1c
17,2,A1,Colors,discuss colors,Discuss colors,הוא לובש מכנסיים סגולים.,He is wearing purple pants.,https://d1vq87e9lcf771.cloudfront.net/he_v1/8576ee8b34ce8ef6033790347514d3dc
17,2,A1,Colors,discuss colors,Discuss colors,אני צובעת ביצה.,I am painting an egg.,https://d1vq87e9lcf771.cloudfront.net/he_v1/396373fd5a0fc01baf6473c866fa69ca
18,2,A1,Prep. 1,express actions with objects,Express actions with objects,הוא קונֶה ממנה את המצרכים.,He buys the ingredients from her.,https://d1vq87e9lcf771.cloudfront.net/he_v1/ed89665bf27b499ed11714629dd377b0
18,2,A1,Prep. 1,express actions with objects,Express actions with objects,אני לומד ממנו.,I am learning from him.,https://d1vq87e9lcf771.cloudfront.net/he_v1/33fa8fb3e4312565e8ffb9681bba04ca
18,2,A1,Prep. 1,express actions with objects,Express actions with objects,אתה בא איתי?,Are you coming with me?,https://d1vq87e9lcf771.cloudfront.net/he_v1/5dd7eca682a0569654235dfa250bcc7e
18,2,A1,Prep. 1,express actions with objects,Express actions with objects,יש לי משקפיים בשבילה.,I have glasses for her.,https://d1vq87e9lcf771.cloudfront.net/he_v1/34af44b19a127ffbcba0f0643aec60a0
19,2,A1,Numbers 1,describe amounts,Describe amounts,יש לי עגבניה אחת.,I have one tomato.,https://d1vq87e9lcf771.cloudfront.net/he_v1/7c54dae763a76e20fe9bc5a9619495ac
19,2,A1,Numbers 1,describe amounts,Describe amounts,יש לי חמישה גזרים.,I have five carrots.,https://d1vq87e9lcf771.cloudfront.net/he_v1/7999db3b177e6a7e50a78d1a76dd47bf
19,2,A1,Numbers 1,describe amounts,Describe amounts,הוא מבשל עשר ביצים.,He is cooking ten eggs.,https://d1vq87e9lcf771.cloudfront.net/he_v1/d39e902368de5d679ee89dc19f999686
19,2,A1,Numbers 1,describe amounts,Describe amounts,"תשעה עשר תפוחים, בבקשה.","Nineteen apples, please.",https://d1vq87e9lcf771.cloudfront.net/he_v1/d800b97b67d170df29b86b072eded93f
20,2,A1,Questions,ask questions,Ask questions,מי אתה?,Who are you?,https://d1vq87e9lcf771.cloudfront.net/he_v1/c0814a041030fb2101a9269bda179cf3
20,2,A1,Questions,ask questions,Ask questions,של מי זה?,Whose is that?,https://d1vq87e9lcf771.cloudfront.net/he_v1/98bf2aa7dda8d29c3149b24f8d81fccb
20,2,A1,Questions,ask questions,Ask questions,למי יש אוכל?,Who has food?,https://d1vq87e9lcf771.cloudfront.net/he_v1/f38dd65a1377090695a94401b0ef9eef
20,2,A1,Questions,ask questions,Ask questions,עם מי את הולכת?,With whom are you going?,https://d1vq87e9lcf771.cloudfront.net/he_v1/2a7603f81c9810cd4e4519760514ef63
21,2,A1,Determiner,talk about daily life,Talk about daily life,אלו הילדים שלי.,These are my children.,https://d1vq87e9lcf771.cloudfront.net/he_v1/907748d2f66b93d237a4c29c9d079d43
21,2,A1,Determiner,talk about daily life,Talk about daily life,אני רוצָה משהו אחר.,I want something else.,https://d1vq87e9lcf771.cloudfront.net/he_v1/7e872601a19950b0e4d726c8002024da
21,2,A1,Determiner,talk about daily life,Talk about daily life,למה אתה לא אוכל כלום?,Why don't you eat anything?,https://d1vq87e9lcf771.cloudfront.net/he_v1/651939dc5e88fefde45d593f3afccaee
21,2,A1,Determiner,talk about daily life,Talk about daily life,הכל בסדר?,Is everything OK?,https://d1vq87e9lcf771.cloudfront.net/he_v1/4fad591e4c7b1f966c6b4ded0f5b45e8
22,2,A1,Occupation,discuss work,Discuss work,מה המקצוע שלךָ?,What is your profession?,https://d1vq87e9lcf771.cloudfront.net/he_v1/fb566292b45e2f9aed228bb9647550f2
22,2,A1,Occupation,discuss work,Discuss work,יש לי עבודה טובה.,I have a good job.,https://d1vq87e9lcf771.cloudfront.net/he_v1/39050a5810a2432fdb340214eb00cb45
22,2,A1,Occupation,discuss work,Discuss work,יש לי קריירה חדשה.,I have a new career.,https://d1vq87e9lcf771.cloudfront.net/he_v1/815968bddc5ed7dc5a7cdb4713f00663
22,2,A1,Occupation,discuss work,Discuss work,יש לנו צוות קטן.,We have a small team.,https://d1vq87e9lcf771.cloudfront.net/he_v1/b3aa558ad17a860e6f92bbdc4c5f9548
23,2,A1,Conjunc.,form complex sentences,Form complex sentences,אני עובד אחרי שאני אוכל.,I work after I eat.,https://d1vq87e9lcf771.cloudfront.net/he_v1/ed1b2a2fa3922b1c180871bbab179f7e
23,2,A1,Conjunc.,form complex sentences,Form complex sentences,"היא אוהבת חיות, לכן יש לה כלב וסוס.","She loves animals, therefore she has a dog and a horse.",https://d1vq87e9lcf771.cloudfront.net/he_v1/de512a69a4fb91ff2c1dc5281d685bb1
23,2,A1,Conjunc.,form complex sentences,Form complex sentences,אני לא לובש חולצות כתומות אף על פי שאני אוהב את הצבע הזה.,I don't wear orange shirts even though I like this color.,https://d1vq87e9lcf771.cloudfront.net/he_v1/001240f01fd2976d6c8a32fc120e81b6
23,2,A1,Conjunc.,form complex sentences,Form complex sentences,אני רוצֶה לאכול במסעדה הזאת אך אני לא יודע איפה היא.,I want to eat in that restaurant but I don't know where it is.,https://d1vq87e9lcf771.cloudfront.net/he_v1/727f9d537cc8099f55b2a6a89cf9c097
24,2,A1,Prep 2.,refer to locations,Refer to locations,קר בחוץ!,It is cold outside!,https://d1vq87e9lcf771.cloudfront.net/he_v1/eb40f1ff810a03a3f6863cd488d0ec0a
24,2,A1,Prep 2.,refer to locations,Refer to locations,הוא יושב ביניהם.,He is sitting between them.,https://d1vq87e9lcf771.cloudfront.net/he_v1/3bac98d9c98cdc5c8ef28616f38bcb7a
24,2,A1,Prep 2.,refer to locations,Refer to locations,אנחנו לא חוזרים אל המסעדה!,We are not coming back to the restaurant.,https://d1vq87e9lcf771.cloudfront.net/he_v1/1622ff0611229574e4ac675c38687855
24,2,A1,Prep 2.,refer to locations,Refer to locations,התרנגולות נמצאות מאחורי הקופים.,The chickens are behind the monkeys.,https://d1vq87e9lcf771.cloudfront.net/he_v1/8b213126260e52a128c8f704a128bf9d
25,2,A1,Possess.2,use the possessive,Use the possessive,הוא אבינו.,He is our father.,https://d1vq87e9lcf771.cloudfront.net/he_v1/cadfae72bc8ac353d078b342246f0000
25,2,A1,Possess.2,use the possessive,Use the possessive,את ילדתי.,You are my daughter.,https://d1vq87e9lcf771.cloudfront.net/he_v1/b6d1e30bf8d8b62d1754b8211b912992
25,2,A1,Possess.2,use the possessive,Use the possessive,כלביה רצים אליה.,Her dogs run towards her.,https://d1vq87e9lcf771.cloudfront.net/he_v1/7f09fdce0fce17d5b457d8ad7dd85cbe
25,2,A1,Possess.2,use the possessive,Use the possessive,אחרי העבודה היא לובשת את שמלתה הלבנה.,After work she wears her white dress.,https://d1vq87e9lcf771.cloudfront.net/he_v1/4469c390137db7ead5b1d3c600dd0f75
26,2,A1,Present 2,form advanced verbs,Form advanced verbs,אני מחמם את האוכל.,I am heating the food.,https://d1vq87e9lcf771.cloudfront.net/he_v1/fc6f553b5959ede0ea7a8b23d96d5f90
26,2,A1,Present 2,form advanced verbs,Form advanced verbs,אני חושב שהשחקנית הזאת משחקת טוב.,I think this actress plays well.,https://d1vq87e9lcf771.cloudfront.net/he_v1/29374b5add14a1263d0e1e5e4cdbdafe
26,2,A1,Present 2,form advanced verbs,Form advanced verbs,הוא עדיין מחפש עבודה.,He is still looking for a job.,https://d1vq87e9lcf771.cloudfront.net/he_v1/25a50275c224825a30ed06f2643a3ce8
26,2,A1,Present 2,form advanced verbs,Form advanced verbs,הם מייבאים הרבה תפוזים.,They import a lot of oranges.,https://d1vq87e9lcf771.cloudfront.net/he_v1/723c1508d8b29ddfed4a2e560eafc025
27,2,A1,Time,talk about time,Talk about time,יום שני בא אחרי יום ראשון.,Monday comes after Sunday.,https://d1vq87e9lcf771.cloudfront.net/he_v1/20033521e178cc7c068ab4a57bb9d055
27,2,A1,Time,talk about time,Talk about time,אנחנו נחים בשבת.,We rest on Saturday.,https://d1vq87e9lcf771.cloudfront.net/he_v1/c337123ea75e61509fae1cb3e69812bb
27,2,A1,Time,talk about time,Talk about time,אתמול או היום?,Yesterday or today?,https://d1vq87e9lcf771.cloudfront.net/he_v1/67eeb050119999a61fe487a1a4f096d1
27,2,A1,Time,talk about time,Talk about time,זה זמן טוב לאכול.,This is a good time to eat.,https://d1vq87e9lcf771.cloudfront.net/he_v1/b5f1346da62ea9b013bf5696aefed3a4
27,2,A1,Time,talk about time,Talk about time,הערב בשעה שש.,Tonight at six o'clock.,https://d1vq87e9lcf771.cloudfront.net/he_v1/fcf3996ef1ccc66d166882c59f0fcd8d
27,2,A1,Time,talk about time,Talk about time,בנובמבר יש לי התמחות.,In November I have got an internship.,https://d1vq87e9lcf771.cloudfront.net/he_v1/0430d81d3d1cc5c47ef64db12790f2d4
28,2,A1,Adj. 2,describe people and things,Describe people and things,הוא כלב מיוחד.,He is a special dog.,https://d1vq87e9lcf771.cloudfront.net/he_v1/65e25405537878bb9d3ae86576faa733
28,2,A1,Adj. 2,describe people and things,Describe people and things,הקפה הזה חלש.,This coffee is weak.,https://d1vq87e9lcf771.cloudfront.net/he_v1/3e68aec40285ea5b0e91f0e5b801c670
28,2,A1,Adj. 2,describe people and things,Describe people and things,הגבינה הזאת נהדרת!,This cheese is terrific!,https://d1vq87e9lcf771.cloudfront.net/he_v1/9b88e5819e982540463666b921bbffb6
28,2,A1,Adj. 2,describe people and things,Describe people and things,הוא אדריכל מפורסם.,He is a famous architect.,https://d1vq87e9lcf771.cloudfront.net/he_v1/1c1f4292771006278c1e991623fe5fc9
28,2,A1,Adj. 2,describe people and things,Describe people and things,אני חושב שזה דבר חיובי.,I think that this is a positive thing.,https://d1vq87e9lcf771.cloudfront.net/he_v1/718cd9fe3eeacafd60561dc982df16e1
29,2,A1,Adverbs,use adverbs,Use adverbs,הם באים לכאן כל יום.,They come over here every day.,https://d1vq87e9lcf771.cloudfront.net/he_v1/696365a0d1f5c43a7ca8f7b07e595e80
29,2,A1,Adverbs,use adverbs,Use adverbs,אני די אוהבת את הצבע הזה.,I quite like this color.,https://d1vq87e9lcf771.cloudfront.net/he_v1/80a3ac337f3bbf4bde9d2012d2feea90
29,2,A1,Adverbs,use adverbs,Use adverbs,אני ממש אוהב את האוכל של אמא.,I really like mom's food.,https://d1vq87e9lcf771.cloudfront.net/he_v1/22ddf7277197d24076eca6fd1176c173
29,2,A1,Adverbs,use adverbs,Use adverbs,"הוא עובד עכשיו, כמו תמיד.","He is working now, as always.",https://d1vq87e9lcf771.cloudfront.net/he_v1/e55a3bb7387f88bb0f78d0ca04bd12ec
29,2,A1,Adverbs,use adverbs,Use adverbs,אני בקושי מכיר אותו.,I barely know him.,https://d1vq87e9lcf771.cloudfront.net/he_v1/ef405f23bcbaf8b9a7ef53884a07af6c
30,2,A1,Family,describe your family,Describe your family,"את יודעת, הבן שלי רופא.","You know, my son is a doctor.",https://d1vq87e9lcf771.cloudfront.net/he_v1/4280a65f0309aa422386056d2c77899b
30,2,A1,Family,describe your family,Describe your family,יש לי שני אחים גדולים ואח אחד קטן.,I have two older brothers and a younger brother.,https://d1vq87e9lcf771.cloudfront.net/he_v1/6add6e7742c327c7e3e6fb76eb462f56
30,2,A1,Family,describe your family,Describe your family,הם בעל ואישה.,They are husband and wife.,https://d1vq87e9lcf771.cloudfront.net/he_v1/bcfe0688341ed7c898617d94ddf7b852
30,2,A1,Family,describe your family,Describe your family,"יש לי כבר נכד, עכשיו אני רוצֶה נכדה.","I already have a grandson, now I want a granddaughter.",https://d1vq87e9lcf771.cloudfront.net/he_v1/48f96138432e2fe3617edbe0178ac227
30,2,A1,Family,describe your family,Describe your family,אני ובן דודי אוכלים ארוחת בוקר.,My cousin and I are eating breakfast.,https://d1vq87e9lcf771.cloudfront.net/he_v1/78adde1b453bd0f34bac84e385499261
30,2,A1,Family,describe your family,Describe your family,בן זוגי מבשל לי אוכל טעים.,My partner cooks me delicious food.,https://d1vq87e9lcf771.cloudfront.net/he_v1/c6f63432f73b7bebd76ca65a85a7d5a2
31,2,A1,Home,talk about your home,Talk about your home,"סליחה, איפה השירותים?","Excuse me, where are the toilets?",https://d1vq87e9lcf771.cloudfront.net/he_v1/d5c182a51fd446744c2aa7a70742c31f
31,2,A1,Home,talk about your home,Talk about your home,המפתח שלךָ נמצא על השולחן.,Your key is on the table.,https://d1vq87e9lcf771.cloudfront.net/he_v1/9e7c97b24c536211df4066be790868be
31,2,A1,Home,talk about your home,Talk about your home,כמה מדרגות יש בבית שלךָ?,How  many stairs are there in your home?,https://d1vq87e9lcf771.cloudfront.net/he_v1/2f55c048d708da2552de806a0fc5780a
31,2,A1,Home,talk about your home,Talk about your home,אני מנקֶה את הגג.,I am cleaning the roof.,https://d1vq87e9lcf771.cloudfront.net/he_v1/7fae575fb44fe6729be8d3e0db958c97
31,2,A1,Home,talk about your home,Talk about your home,"אני צריך מכונת כביסה חדשה, זאת כבר לא טובה.","I need a new washing machine, this one is no good anymore.",https://d1vq87e9lcf771.cloudfront.net/he_v1/e57bd17bb2dfdb6306e37473f1b6e61d
32,2,A1,Const. 1,use compound nouns,Use compound nouns,הילד שותֶה מבקבוק המים.,The boy drinks from the water bottle.,https://d1vq87e9lcf771.cloudfront.net/he_v1/744418e0296fa587cf2a545ef8ea50cd
32,2,A1,Const. 1,use compound nouns,Use compound nouns,המשפחה שלי אוהבת את עוגת השוקולד שלה.,My family loves her chocolate cake.,https://d1vq87e9lcf771.cloudfront.net/he_v1/3e164cea6b6a32d8685e146ac9b376bc
32,2,A1,Const. 1,use compound nouns,Use compound nouns,למסעדה הזאת יש ארוחות בוקר מצוינות.,This restaurant has excellent breakfasts.,https://d1vq87e9lcf771.cloudfront.net/he_v1/3c816bc36132938c4e14f83764d14b26
32,2,A1,Const. 1,use compound nouns,Use compound nouns,"האדריכל הזה מעצב בתי חולים, בתי מלון ובתי משפט.","This architect designs hospitals, hotels and courtrooms.",https://d1vq87e9lcf771.cloudfront.net/he_v1/5d2e41092f540110d8f72fd090822fe8
