hebrew,english,transliteration,skill,english_guidebook,english_pdf,skill_url,transliteration_key,lexeme_id,related_lexemes
לחזור,come back / return / to go back / to return,lakhazor,Infinitives 1,come back / return / to go back / to return,"Return, Come Back; Repeat (al) (Qal)",Verbs:-Infinitive,lkhzvr,da922167102c81d6d6474e0cd2859f9b,
מדי,much / too / too many / too much,yoter midai,Numbers 1,much / too / too many / too much,Too Much/Many,Numbers-1,mdy,322f44cfc793ac1d36f661055a4034a6,
איזה,what / which,eizeh,Questions,what / which,Which? (m),Questions,yzh,777e68399d74106592b9f2aab7177f15,
שלהם,their / theirs,shelahem,Possessives 1,their / theirs,Their (m),Possessives-1,shlhm,1695db1115b493582765438a51d9115e,
אישה,a woman / wife / woman,ishah nashim,Letters 2,a woman / wife / woman,Woman; Wife,Letters-2,yshh,789115e44f7b65619f1ec9ee35d3d32a,
הילדה,the girl / the girl is,,Letters 2,the girl / the girl is,,Letters-2,hyldh,10e3ce4a0b80fc2c6e305b5e678fe870,
רואֶה,is seeing / see / sees,ro'eh,Letters 2,is seeing / see / sees,See (m.s - pres.),Letters-2,rveh,b78300a03df34f51dac3c023f98ad0a6,
הגבר,the man / the man is,,Letters 2,the man / the man is,,Letters-2,hgbr,4b7ecadafb5f16021f3481d04304e2ab,
לי,I have / for me / me / to me,kor'im li,There is/To Have,I have / for me / me / to me,My Name Is,There-is,ly,2bda1225118b08dc04aebd7f0aa78468,
למה,why,lamah,Questions,why,Why?,Questions,lmh,323203d675f67605327b4f03af0dc6a2,
לעשות,do / nothing can be done / there is nothing to do / to do,la'asot,Infinitives 1,do / nothing can be done / there is nothing to do / to do,"Do, Make, Create (Qal)",Verbs:-Infinitive,l`shvt,d49092c7d3435b8f9f6dc6248ce2b928,
מי,the one who / who / who are / who is / who with / whose / with whom,mi,Questions,the one who / who / who are / who is / who with / whose / with whom,Who?,Questions,my,1e8d49aea63c8f740562cb0c57cf0284,
אלה,these / those,eleh,Determiners,these / those,These (Pron),Determiners,lh,9a580e7095f9379e196db5ce360850a9,
שלכם,your / yours / yours(p.m.),shelakhem,Possessives 1,your / yours / yours(p.m.),Your (m.p),Possessives-1,shlkm,daa6f85f2545110dcdbf16149b42d56e,
הספר,the book,,Letters 3,the book,,Letters-3,hspr,df0596238b56d7de5254deb9eec704ce,
הזאת,that / this,hazot,Determiners,that / this,This (f) (formal),Determiners,hzt,3412c93cda8a63a9de6a61af3083584b,
ממני,,,Prepositions 1,,,Prepositions-1,mmny,dac6017524076d4eef56d3cfde76c90d,
רואות,see,ro'ot,Basics,see,See (f.p - pres.),Basics,rvvt,e867c39cd8f064469d8b1f312684ae41,9406d8ef7d0c588e094b07f4ae3be5de
רואים,See (m.p - pres.),ro'im,Basics,,See (m.p - pres.),Basics,rvym,afae3a2d751499f0fc541f5dee4ca2e2,70c44e4cbc57620fd016cfb101869bfc
כי,Because,ki,Conjunctions,,Because,Conjunctions,ky,ec9909f2eca3eff0e9f1332b9db70c19,
האלה,these / those,,Determiners,these / those,,Determiners,hlh,878c9acdc42445ba03158324d96361af,
ארוחת צהריים,,,Food 1,,,Food-1,rvkht tshryym,a526bc9fd95446ecbbb22ad853bacbdf,4cb4d2953ad5522028481bdd606a5676
לנו,for us / to us / us / we have / we will not have,lanu,There is/To Have,for us / to us / us / we have / we will not have,To Us,There-is,lnv,a650431190832ec78c47badc56402880,
בת,daughter / the cousin / the female cousin / years old (sg. fem.),bat banot,People,daughter / the cousin / the female cousin / years old (sg. fem.),"Daughter, Girl",People,bt,a04bebfbb1aa8030801842825e4eed44,7cbede43337c8375780987dcbf63e78e
אם,if / whether,im,Conjunctions,if / whether,If,Conjunctions,m,e94385df4e070d8c7d94a28ede0d7efb,
לישון,sleep / sleeping / to sleep,lishon,Infinitives 1,sleep / sleeping / to sleep,Sleep (Qal),Verbs:-Infinitive,lyshvn,290819d182d6586e294f3ffac6f7057c,
לומר,to say / to tell,lomar,Infinitives 1,to say / to tell,"To Say, Tell (Qal)",Verbs:-Infinitive,lvmr,f83ce8acdf80518e78c5d9421a7edb35,
לדבר,"To Talk, Speak (Piel)",l'daber,Infinitives 1,,"To Talk, Speak (Piel)",Verbs:-Infinitive,ldbr,463248bf6f686beb7b5b691d46a04d65,
לוּ,if / if (cond.),lo,The Conditional,if / if (cond.),To Him,Verbs:-Conditional,lv',fe14e62c9986b0bde0ab7eb665b24aaf,
שלו,his / its,shelo,Possessives 1,his / its,His,Possessives-1,shlv,44a127de2ccad8d4e4a1e6ede7ee75bd,
איך,how / how are / how is,eikh,Questions,how / how are / how is,How?,Questions,yk,cd8e2dff1020391e5134eafc0cfae979,
אמא,mom / mother / mum,ima imahot,Letters 1,mom / mother / mum,"Mother, Mom",Letters-1,m,e3f32a98d73ae3c26d7c9678628f92ae,
כמה,a few / how / how many / how much,kamah,Questions,a few / how / how many / how much,How Much/Many?,Questions,kmh,36d8565748e44b6fb984edd08ff2c711,
לעבוד,Work; Operate; Function (Qal),la'avod,Infinitives 1,,Work; Operate; Function (Qal),Verbs:-Infinitive,l`bvd,b4c80ed7668dcc3ecfa66ff0afc9fea3,
אַל,Do not,el,Negative Imperatives,Do not,"To(wards), Into (Prep)",Negative-Imperatives,al,993bf302279669d4eae28b3a60160f33,
אותם,the same / them,otam,Direct Object,the same / them,Them (m),Direct-object,vtm,7e7f11be7e0d66d9dc4fac2f96d00cc8,
ללכת,"To Go, Walk (Qal)",lalekhet,Infinitives 1,,"To Go, Walk (Qal)",Verbs:-Infinitive,llkt,e7d1e2dfed6017d081dcf4d5b1e267a9,
התפוח,the apple / the apple is,,Letters 3,the apple / the apple is,,Letters-3,htpvkh,7f57ee9a4cf82e2ce3d2fc2136dfe43e,
לשחות,Swim (Qal),lish'tot,Infinitives 1,,Swim (Qal),Verbs:-Infinitive,lshkhvt,be7fbf6e5d6cb299e124a0a7f9cd4dee,
ספר,a book / book,sefer s'farim,Letters 3,a book / book,Book,Letters-3,spr,ff6fdb4b17c7ad3b02d4b41db5d19433,
סליחה,I am sorry / Pardon / excuse me / sorry,s'likhah,Common Phrases,I am sorry / Pardon / excuse me / sorry,Sorry,Common-Phrases,slykhh,b4ef4e03b66c742824481f4ac44c7e39,
שותֶה,drink / drinking / drinks / is drinking,shoteh,Letters 2,drink / drinking / drinks / is drinking,Drink (m.s - pres.),Letters-2,shvteh,92e0e2e1ecfd66721d6b742adba57a98,
שלה,her / her boys / her children / hers / its,shelah,Possessives 1,her / her boys / her children / hers / its,Her,Possessives-1,shlh,2290c2aeb93c15250aa7962087520c19,
בן,boy / my partner / son / years old (sg. masc.),ben banim,People,boy / my partner / son / years old (sg. masc.),"Son, Boy",People,bn,03ba90c867717fd0e71fe76ff75b0434,
אותנו,Us,otanu,Direct Object,,Us,Direct-object,vtnv,21261c1bd7883d248724fca2a41227ba,
עדיין,still / yet,adayin,Conjunctions,still / yet,Still,Conjunctions,`dyyn,e5a6944528ea2c540c53d7ba40a7cc3a,
לבוא,to come,lavo,Infinitives 1,to come,To Come (Qal),Verbs:-Infinitive,lbv,82f2ea77a48096cd63bcc0fac254d874,
אתכן,You (f.p),et'khen,Direct Object,,You (f.p),Direct-object,tkn,81544f54194dd2b10294f894e58ce45c,
אותן,the same / them,otan,Direct Object,the same / them,Them (f),Direct-object,vtn,68ff30d8039015813e2fcbd9cc170f7e,
אותךָ,you,ot'kha,Direct Object,you,"Thee, You (m.s)",Direct-object,vtka,9fa3e8636c0ed7e8926165fd2ae3a46c,
אותךְ,you,ot'kha,Direct Object,you,"Thee, You (m.s)",Direct-object,vtk@,4625ee6af06a06996bb06f7c74c12bbf,
אותה,Her,otah,Direct Object,,Her,Direct-object,vth,40448fce671d01e7bb7d565c62830393,
שלךְ,Your (m.s),shel'kha,Possessives 1,,Your (m.s),Possessives-1,shlk@,ed77efa0fbb7cb94ca8ef0e06a7b805b,
לה,her / it (feminine nouns) / she has / to her,lah,There is/To Have,her / it (feminine nouns) / she has / to her,To Her,There-is,lh,f31ef8b03ed30c4238c4a773f92757ff,
לךְ,do you have / you / you have,l'kha,There is/To Have,do you have / you / you have,To You (m.s),There-is,lk@,c52801880e941193aaa7fd415a341fc0,
לשחק,"To Play (Game), Act (Piel)",l'sakhek,Infinitives 1,,"To Play (Game), Act (Piel)",Verbs:-Infinitive,lshkhq,440ba747c630b9dbdd6a85e2ae9257d2,
לפתוח,"Opens; Turns On (Light, etc) (Qal)",lif'toakh,Infinitives 1,,"Opens; Turns On (Light, etc) (Qal)",Verbs:-Infinitive,lptvkh,793d543bf7f18acf05a12a5dd7350e3b,
לסגור,"Close; Turn Of (Light, Machine) (Qal)",lis'gor,Infinitives 1,,"Close; Turn Of (Light, Machine) (Qal)",Verbs:-Infinitive,lsgvr,305d2bc17be93e498218f18b988f89a4,
לבקר,to visit,l'vaker (-ב) (תא),Infinitives 1,to visit,To Visit (b-); Criticise (at) (Piel),Verbs:-Infinitive,lbqr,d805b18832af4d57cd4ec9781c1d516d,
חלב,milk,khalav khalavim,Letters 1,milk,Milk,Letters-1,khlb,9060ec0576a6294b9aef94b14725dcee,
בא,come / comes / coming / is coming,ba,Letters 1,come / comes / coming / is coming,Come(s) (m.s - pres.),Letters-1,b,c120f4f72558eab3f412083111546fed,
חם,"Hot, Warm (m.s)",kham,Letters 1,,"Hot, Warm (m.s)",Letters-1,khm,38063f53aa8809ba3b2e35cca030343e,
היונה,,,Letters 1,,,Letters-1,hyvnh,427a82a845322c9fa644d7b54ce723cc,
באה,come / comes / is coming,ba'ah,Letters 1,come / comes / is coming,Come(s) (f.s - pres.),Letters-1,bh,0618280c9c5ab086a401e8e55a44c88b,
לחם,bread,lekhem l'khamim,Letters 1,bread,Bread,Letters-1,lkhm,fc6fb7ddebfc8b189bb0a88c415e59e8,
וחלב,,,Letters 1,,,Letters-1,vkhlb,6304bd0676d3333ed1470d0bc9526c15,
יין,Wine,yayin yeinot,Letters 1,,Wine,Letters-1,yyn,9b59221bd72db8aca2aaa866c5b8997d,
אבא,dad / father,aba avot,Letters 1,dad / father,"Father, Dad",Letters-1,b,4b46a3e6c1a7313ea1a2668db793f6b3,
לו,To Him,lo,There is/To Have,,To Him,There-is,lv,995770ba934dbed0d772b5b0168cc8e6,
ילדה,I am a girl / a girl / child / girl,yal'dah y'ladot,Letters 2,I am a girl / a girl / child / girl,Girl,Letters-2,yldh,acac85057d0ebc5dcff1c41bb261965a,
אותי,Me,oti,Direct Object,,Me,Direct-object,vty,c57064f52b32fe08da36855b0119f239,
איתי,with me,iti,Prepositions 1,with me,With Me,Prepositions-1,yty,86f5bc43db61f497388dc4286636d244,
בבקשה,here you go / please / you are welcome,b'vakashah,Common Phrases,here you go / please / you are welcome,Please,Common-Phrases,bbqshh,dfbb15a79f18aa681c9a1f55b6579008,
ילד,Boy,yeled y'ladim,Letters 2,,Boy,Letters-2,yld,80584287888bfb94376f5f7460e15c13,
איתו,with him / with it,ito,Prepositions 1,with him / with it,With Him,Prepositions-1,ytv,71de6e615bf7e088d7eefd875fc6c8f2,
האישה,the woman / the woman is,,Letters 2,the woman / the woman is,,Letters-2,hyshh,aa7fbefc3a24ae71da1b7711a65f1fd2,
תפוח,an apple / apple,tapuakh tapukhim,Letters 3,an apple / apple,Apple,Letters-3,tpvkh,d18b8a572240925bcf0e69a6fe9c327a,
כלב,a dog / dog,kelev k'lavim,Letters 2,a dog / dog,Dog,Letters-2,klb,4ece4c97993fb38fe065cb8cd603760b,
רואָה,See (m.s - pres.),ro'eh,Letters 2,,See (m.s - pres.),Letters-2,rvah,3e86c7f755be617913ef69c69e9983c6,
לעזור,help / helping / to help,la'azor,Infinitives 1,help / helping / to help,"Help, Assist, Aid (Qal)",Verbs:-Infinitive,l`zvr,6a9145852f98996264be9d20232faab1,
לקבל,"To Receive, Get; Accept (Piel)",l'kabel,Infinitives 1,,"To Receive, Get; Accept (Piel)",Verbs:-Infinitive,lqbl,652ddcb51eb9c564ce66fe326e983d61,
לבשל,"To Cook, Boil (Piel)",l'vashel,Infinitives 1,,"To Cook, Boil (Piel)",Verbs:-Infinitive,lbshl,bcd045508f86718bf61eac792b419e6f,
להגיד,"To Tell, Say (Hifil)",l'hagid,Infinitives 1,,"To Tell, Say (Hifil)",Verbs:-Infinitive,lhgyd,5c5211c673de563328d52c3177714bfe,
רוצָה,want / wants,rotzeh,Letters 3,want / wants,Want (m.s - pres.),Letters-3,rvtsah,ea1c3c37a9e47b47e100eb91ed7bc6e7,
לשתות,To Drink (Qal),lish'tot,Infinitives 1,,To Drink (Qal),Verbs:-Infinitive,lshtvt,afd1a3806cb7acba3b29dd79b9d8e2b9,
לגור,"To Live, Reside (Qal)",lagur,Infinitives 1,,"To Live, Reside (Qal)",Verbs:-Infinitive,lgvr,683ac12a8af08647059cceec0191f368,
עוף,"Chicken, Fowl, Poultry (Food)",of ofot,Letters 3,,"Chicken, Fowl, Poultry (Food)",Letters-3,`vp,1be0e626b76d7064d83c389ec3f3aa01,
שלום,hello / hi / peace,shalom,Common Phrases,hello / hi / peace,Hello,Common-Phrases,shlvm,a340b50867ba0e36ed86fb573cfcb465,
אוכלת,are eating / eating / is eating,okhelet,Letters 2,are eating / eating / is eating,Eat (f.s - pres.),Letters-2,vklt,5a1ba4e9b6071cddab3fbe15043c09d5,
קורא,is reading / read / reading,kore,Letters 3,is reading / read / reading,Read (m.s - pres.),Letters-3,qvr,ef0e6bc6492f0a7bfa947e568311365c,
אין בעד מה,,,Common Phrases,,,Common-Phrases,yn b`d mh,a3c0d2c9b8c8de2690f3ec38413ab41e,
הולכת,go / goes / is going / is walking / walk,holekhet,Letters 2,go / goes / is going / is walking / walk,"Walk, Go (f.s - pres.)",Letters-2,hvlkt,5bd6d27208a2db5aad93e381a2aaa29a,
יותר,any longer / any more / more / taller / too / too many / too much,yoter,Numbers 1,any longer / any more / more / taller / too / too many / too much,More,Numbers-1,yvtr,46b8df8aefd6b44eb0a38815dfd78d63,2b1ae05c91baad29f18d6a262b94ef60
למצוא,"Find, Encounter (Qal)",lim'tzo,Infinitives 1,,"Find, Encounter (Qal)",Verbs:-Infinitive,lmtsv,b453dbb7fe744f94eed1de35e4ded3d9,
אחת,one (fem.),akhat,Numbers 1,one (fem.),One (f),Numbers-1,kht,cd81291629f29ccc40217850651010b2,
מתי,when,matai,Questions,when,When?,Questions,mty,f76bd919af3023b5de580504a469e5a0,
חמוץ,Sour (m.s),khamutz,Letters 3,,Sour (m.s),Letters-3,khmvts,09841e30dfb293dd5588d708e5457302,
התפוז,,,Letters 3,,,Letters-3,htpvz,3d1202c07d9be37c3057b4a19feea2ce,
שלכן,Your (f.p),shelakhen,Possessives 1,,Your (f.p),Possessives-1,shlkn,f11665579c5dad1e9d76db0f63410e02,
שלהן,Their (f),shelahen,Possessives 1,,Their (f),Possessives-1,shlhn,d1dce715bbfba25ebd3febb615799596,
האוכל,the food,,Letters 2,the food,,Letters-2,hvkl,f2052d4a7856bcb86c2c02fa13c84efc,01e99d0a73002c052b1bc7b2ba698f2a
ארוחת ערב,,,Food 1,,,Food-1,rvkht `rb,640b37d74d4e0948bb4b17c242523ee5,
בשבילי,,,Prepositions 1,,,Prepositions-1,bshbyly,c8ba4ab1546b7625072e857ba76c7a52,
מיץ,a glass of juice / juice,mitz mitzim,Letters 3,a glass of juice / juice,Juice,Letters-3,myts,9d86749e68106438dfd7a2a690344fd5,
איזו,Which? (f),eizoh,Questions,,Which? (f),Questions,yzv,ee8f03ea8ec00083dc12e289f33c4609,
קוראת,is reading / read / reading,koret,Letters 3,is reading / read / reading,Read (f.s - pres.),Letters-3,qvrt,a2321bab8a474b7f68d2a046656cdd34,
תפוז,an orange / orange,tapuz tapuzim,Letters 3,an orange / orange,Orange (Fruit),Letters-3,tpvz,94419aec576ff44e932b40bc8186addf,
שותָה,Drink (m.s - pres.),shoteh,Letters 2,,Drink (m.s - pres.),Letters-2,shvtah,5a52655272b808cdd83c7e4ae173bcb7,
האלו,These,haelu,Determiners,,These,Determiners,hlv,620629b57f81062d8018eb370b18d461,
אוכלים,are eating / eat / eating,okhel,Determiners,are eating / eat / eating,Eat (m.p - pres.),Determiners,vklym,a9dc22ae17de06cb706fc22312778383,
ארוחת בוקר,,,Food 1,,,Food-1,rvkht bvqr,531bda8b811f25e6b46d680f95cd0240,1ea42bb69ca5ad4d275d6506faa01720
עיתון,Newspaper,iton itonim,Letters 3,,Newspaper,Letters-3,`ytvn,d971c92da2afdee132c75f3e010fc72f,
להן,To Them/They (f),lahen,There is/To Have,,To Them/They (f),There-is,lhn,1a1c86642644d494b7cb7d0ef4e664d2,
לכן,That's why / therefore / you,lakhen,There is/To Have,That's why / therefore / you,To You (f.p),There-is,lkn,eae662e765717013f7f33edb303f8eab,
אורז,rice,orez,Letters 2,rice,Rice,Letters-2,vrz,086f4d38b5d13dbc2a85d4d777974e5a,
כזה,Like This,kazeh,Determiners,,Like This,Determiners,kzh,9f24979a211ad9e2a54bbd57f176163d,
דרך,path / road / way,derekh d'rakhim,Letters 2,path / road / way,"Road, Way, Path",Letters-2,drk,e998eadb1fcc9c5845fb3c0f1a81e001,
גבר,a man / man,gever g'varim,Letters 2,a man / man,Man,Letters-2,gbr,be79d7c6af865e23cbcbf30383cc4843,
ממנה,from her,,Prepositions 1,from her,,Prepositions-1,mmnh,7fa5764bf312e11aa7a34c1d29e35aa2,
המלך,,,Letters 2,,,Letters-2,hmlk,3a7db33e0f376c942d1277eca6192faf,
לראות,see / seeing / to see,lir'ot,Infinitives 1,see / seeing / to see,To See (Qal),Verbs:-Infinitive,lrvt,4c671aa9908acc706dd4175990633a61,
בו,,,Prepositions 1,,,Prepositions-1,bv,06af6c13023993fdb2f21da299e92dc4,
לתת,"Give, Allow (Qal)",latet,Infinitives 1,,"Give, Allow (Qal)",Verbs:-Infinitive,ltt,fc336949053237c18b2e8f7fe280e849,
אפרסק,Peach,afarsek afar's'kim,Letters 3,,Peach,Letters-3,prsq,3d099c21da3914c3958c6cc77a1f1831,
של מי,,,Questions,,,Questions,shl my,eeacc45e59d05152a0aebf7c0b6fb758,
אילו,if / what / which,eilu,Questions,if / what / which,Which? (Pl.),Questions,ylv,240aad92375c005130f96345110f3977,
את מי,,,Questions,,,Questions,t my,ab8b83c7582fec08d39dfb081dde4e54,
בשביל מה,,,Questions,,,Questions,bshbyl mh,f467eab66030373c972a38fd11da6ec7,
ואבא,,,Letters 1,,,Letters-1,vb,9d7e4d80b0cdac03158ae05c89a21dee,
תודה,thank you / thanks,todah,Common Phrases,thank you / thanks,Thanks,Common-Phrases,tvdh,1faddd584035bf7ad036c0844dc92a64,
מה קורה,,,Common Phrases,,,Common-Phrases,mh qvrh,6ff1f1d353c6a2b14c26632e64f2140e,
בתיאבון,Bon Appetit,b'te'avon,Common Phrases,,Bon Appetit,Common-Phrases,btybvn,a047c6b26fb39c666cf4877a2bf7e85d,
בסדר,alright / fine / ok,b'seder,Common Phrases,alright / fine / ok,"Fine, All Right, Okay",Common-Phrases,bsdr,2dcfd661808165fbe765084bec77c786,
תודה רבה,,,Common Phrases,,,Common-Phrases,tvdh rbh,0d682a662ac1de81676f5ff89c66824b,
בהצלחה,Good luck,b'hatzlakhah,Common Phrases,,Good luck,Common-Phrases,bhtslkhh,a33d7294767a70115190ef53b2a8b91f,
מזל טוב,,,Common Phrases,,,Common-Phrases,mzl tvb,9f06039375700a80b6bae07dcbec47e6,
טל,,,Common Phrases,,,Common-Phrases,tl,f9026ae1b5518633350918efae301e0d,
מה נשמע,,,Common Phrases,,,Common-Phrases,mh nshm`,12b220dbdc2743ebfb1e8c1e0d771ede,
לקחת,Take (Qal),lakakhat,Infinitives 1,,Take (Qal),Verbs:-Infinitive,lqkht,ec1c7123b7e639b08fcd03f78a919712,
ועוד,Plus (Conj),v'od,Numbers 2,,Plus (Conj),Numbers-2,v`vd,54aad5e477e73352fa4bc33e46eabf92,
